company,id,number_of_board_memebers,average_age_board,total_active_assignments,total_active_assignments_star,total_prev_assignments,proportion_historic_defaults
A Brash AB,5568391519,2.0,39.0,3.0,2,1.0,0.0
A C Ställningsmontage Aktiebolag,5563594406,2.0,49.0,3.0,2,1.0,0.0
A Dahlqvist Bygg & Betong AB,5590030499,6.0,54.0,6.0,5,1.0,0.0
A Hedlunds Måleriaktiebolag,5563014082,2.0,52.0,9.0,8,7.0,0.0
A Olsson Grund & Betong AB,5561780833,2.0,60.0,8.0,7,1.0,0.0
A & R Axelssons Bygg Aktiebolag,5564791738,2.0,40.0,2.0,1,3.0,0.0
A. Davidsson Måleri & Golv AB,5563543353,3.0,50.0,4.0,3,6.0,0.0
A. Madsens Takservice Aktiebolag,5565867677,2.0,50.0,4.0,1,1.0,0.0
A. Nordbecks Entreprenad Aktiebolag,5561289652,4.0,47.0,6.0,5,4.0,0.2
A.L. Ivarsson Fönster Aktiebolag,5564488426,2.0,64.0,5.0,4,8.0,0.0
A.V.D. Värme och Vatten Aktiebolag,5561664920,2.0,34.0,3.0,2,1.0,0.0
A.W. Jonaeson Bleck & Plåtslageri Aktiebolag,5560666389,3.0,36.0,2.0,1,3.0,0.0
Aktiebolaget Artur Sjöberg Smide,5560576273,3.0,51.0,4.0,3,3.0,0.0
AB Beletorps Maskiner,5566850169,2.0,53.0,13.0,12,8.0,0.0
Aktiebolaget Bengt Fredin Taktäckning & Isolering,5561335950,4.0,42.0,3.0,2,4.0,0.0
AB Boxholmsteknik,5566628490,7.0,72.0,3.0,2,5.0,0.0
Aktiebolaget Bröderna Falk Byggnadsställningar    Eftr.,5561206094,3.0,51.0,5.0,4,4.0,0.0
AB Bygg PP; Preben Petersen,5566107479,2.0,65.0,2.0,1,2.0,0.0
AB Byggruppen i Marieholm-Göteborg,5569313868,3.0,42.0,2.0,1,0.0,0.0
Triclima Installation AB,5564520475,3.0,54.0,5.0,4,6.0,0.0
Aktiebolaget Clois Serneberg,5561420752,,,2.0,2,10.0,0.0
AB Confrema Entreprenad,5569105819,3.0,47.0,9.0,8,11.0,0.0
Aktiebolaget Davidssons Marktjänst,5563155448,2.0,65.0,4.0,3,1.0,0.0
AB Elteam Norrtälje,5567023998,4.0,53.0,2.0,1,2.0,0.0
Aktiebolaget Ericsbergs Säteri,5560519240,6.0,60.0,7.0,6,1.0,0.0
AB Evelko,5569749137,5.0,56.0,3.0,2,7.0,0.5
Aktiebolaget Frölunda Betonggolv,5562013523,2.0,57.0,4.0,3,6.0,0.0
Aktiebolaget Gerald Karlsson,5560967712,3.0,52.0,6.0,5,5.0,0.0
AB Gevert Bergman Bygg & Co,5566157094,4.0,57.0,2.0,1,0.0,0.0
AB GMS Plåtslageri,5590075874,2.0,41.0,2.0,1,2.0,0.0
AB Golv & Tak,5563128403,4.0,65.0,2.0,1,4.0,0.0
AB Golvinteriör,5564121621,4.0,57.0,3.0,2,1.0,0.0
Aktiebolaget Halmstad Golvservice,5560968892,,,4.0,4,4.0,0.0
Aktiebolaget husbyggarna i kungens kurva,5569994840,2.0,51.0,5.0,4,4.0,0.0
Aktiebolaget Hus- & Villaträdgårdar Lindstedt & Co,5562801174,3.0,55.0,3.0,2,3.0,0.0
Aktiebolaget Hägglunds Last & Schakt,5562885490,3.0,68.0,2.0,1,3.0,0.0
AB IPS Alarm Direct,5560637448,4.0,42.0,6.0,2,8.0,0.0
Aktiebolaget Isoton,5560652629,2.0,69.0,2.0,1,2.0,0.0
Aktiebolaget I3AHCO Service,5563526259,4.0,61.0,4.0,3,8.0,0.0
Aktiebolaget K.G. Karlssons Rörledningsfirma,5560928680,3.0,53.0,2.0,1,4.0,0.0
Aktiebolaget Karlskrona Kylservice,5562019546,5.0,61.0,8.0,7,17.0,0.0
AB Karlssons Bygg & Skorstensservice,5565155651,3.0,57.0,2.0,1,2.0,0.0
Aktiebolaget KJ:s Maskiner,5563509537,2.0,49.0,4.0,3,9.0,0.0
Aktiebolaget Knuttes Rör,5560101312,3.0,53.0,2.0,1,4.0,0.0
Aktiebolaget Krok och Spade Maskinuthyrning,5561554824,6.0,54.0,3.0,2,3.0,0.0
Aktiebolaget Kurt-Görans Elektriska,5561546804,2.0,57.0,2.0,1,3.0,0.0
Aktiebolaget Lidingö Elektriska,5561006676,4.0,56.0,4.0,3,3.0,0.0
Aktiebolaget Lindqvist Sanering & Rivningsfirma,5562325026,,,12.0,12,24.0,0.0
Aktiebolaget Låscentralen E. Borgström,5560700618,2.0,45.0,3.0,2,7.0,0.0
Aktiebolaget Malmöregionens avlopp,5560734336,12.0,67.0,7.0,6,2.0,0.0
Aktiebolag Mora Byggservice,5562206572,2.0,47.0,2.0,1,2.0,0.0
Great Security Nacka AB,5562239722,4.0,52.0,2.0,1,2.0,0.0
AB Byggbeslag Lås & Säkerhet,5561723593,2.0,52.0,10.0,9,18.0,0.0
AB Näsum Betonghåltagning,5566358601,4.0,57.0,3.0,2,9.0,0.0
Opalab Relining AB,5569009953,3.0,46.0,5.0,4,3.0,0.0
Enviroom AB,5569475451,4.0,46.0,3.0,2,8.0,0.0
Aktiebolaget R. A.-Byggen,5560567827,3.0,62.0,5.0,4,3.0,0.0
AB Rörbjörnen,5567762918,3.0,43.0,5.0,4,4.0,0.0
Aktiebolaget Sjömaskiner Katrineberg,5562780311,3.0,63.0,3.0,2,3.0,0.0
Aktiebolaget Skåne Lås.,5561833202,3.0,59.0,2.0,1,1.0,0.0
Aktiebolaget Snowtech,5564562352,,,3.0,3,4.0,0.0
AB Strömstanet,5568520802,10.0,57.0,5.0,4,5.0,0.0
Aktiebolaget Surahammars Elaffär,5560756800,4.0,47.0,4.0,3,4.0,0.0
AB Svensk Bygg & Förvaltning,5567446058,2.0,60.0,4.0,3,9.0,0.0
AB SVENSK VÄRME,5567382873,3.0,54.0,2.0,1,13.0,0.0
Aktiebolaget Såg- & Betongborrning,5563197283,2.0,42.0,2.0,1,4.0,0.0
Aktiebolaget Truck- och Krantjänst,5560464470,3.0,40.0,2.0,1,2.0,0.0
Aktiebolaget Täckdikningar,5560771700,2.0,51.0,3.0,2,3.0,0.0
Aktiebolag Tätskiktsgarantier i Norden,5564529237,5.0,55.0,2.0,1,5.0,0.0
Laborator Q AB,5560670217,4.0,56.0,2.0,1,6.0,0.0
AB VVS och Kylteknik Nord,5567143473,,,6.0,6,8.0,0.0
Aktiebolaget Wermlands Byggplåt,5565057832,4.0,35.0,2.0,1,0.0,0.0
AB Årsta Bygg och Entreprenad,5590460985,4.0,45.0,3.0,2,2.0,0.0
AB Östgöta-Byggen,5565464608,3.0,39.0,3.0,2,1.0,0.0
ABAB Sverige AB,5568129158,3.0,58.0,5.0,4,3.0,0.0
ABC Franchise AB,5569202327,3.0,57.0,12.0,11,8.0,0.0
ABC Solutions Nordost AB,5590546080,4.0,49.0,9.0,8,8.0,0.0
ABC Solutions Sydsverige AB,5569723322,4.0,51.0,9.0,8,8.0,0.0
ABIMA Gruppen AB,5562637180,2.0,36.0,3.0,2,7.0,0.0
ABOK AB,5569429508,3.0,42.0,3.0,2,0.0,0.0
ABTK Anläggning och BetongTeknik Konsult AB,5565820981,3.0,42.0,6.0,5,13.0,0.0
ABTOT MARK OCH ANLÄGGNING AB,5569091548,4.0,41.0,6.0,5,11.0,0.0
Ac Acrylicon Fogfriagolv AB,5569169021,2.0,37.0,4.0,3,5.0,0.0
AC Byggtjänst i Umeå AB,5568268246,3.0,44.0,3.0,2,6.0,0.0
ACDC Elektro AB,5568319320,5.0,45.0,3.0,2,13.0,0.0
Ackevis Miljö El AB,5565425088,4.0,52.0,5.0,4,3.0,0.0
Acona AB,5568455355,3.0,64.0,3.0,2,0.0,0.0
ACRUX ENTREPRENAD AB,5569064602,3.0,51.0,8.0,7,4.0,0.0
ACT M&B AB,5568086929,6.0,42.0,4.0,1,3.0,0.0
Active Works AB,5566764535,2.0,53.0,26.0,18,66.0,0.0
Active Ventilation i Göteborg AB,5565851994,3.0,53.0,3.0,2,2.0,0.0
Adderalink Motala AB,5569299802,2.0,58.0,4.0,3,0.0,0.0
ADP HUS AB,5568569593,2.0,45.0,5.0,4,2.0,0.0
Advena Bygg AB,5567091797,2.0,40.0,3.0,2,5.0,0.0
AF Installation AB,5590503776,2.0,39.0,3.0,2,0.0,0.0
AFAB Anläggning AB,5563173813,2.0,51.0,2.0,1,0.0,0.0
AFP Elteknik AB,5568058670,3.0,40.0,2.0,1,2.0,0.0
AG Jompas Glas Aktiebolag,5563995199,2.0,40.0,3.0,2,2.0,0.0
AH Entreprenad i Stockholm Aktiebolag,5590473996,3.0,54.0,2.0,1,0.0,0.0
AHAB Ställningar & Väderskydd AB,5563944452,4.0,48.0,7.0,6,6.0,0.0
Ahlins Plåt Aktiebolag,5563185783,2.0,57.0,6.0,5,8.0,0.0
Ahlqvists Brunnsborrning Aktiebolag,5564083052,4.0,47.0,2.0,1,1.0,0.0
Ahrling & Östinge Trädgårdsanläggningar Aktiebolag,5561607259,2.0,75.0,3.0,2,15.0,0.0
AK Schakt o Entreprenad AB,5567775282,3.0,57.0,3.0,2,7.0,0.0
AKarlsson Invest AB,5569263329,2.0,43.0,4.0,3,3.0,0.0
AKD Bygg & Kakel AB,5567624118,3.0,32.0,2.0,1,1.0,0.0
Akrima Bygg Aktiebolag,5561826099,2.0,51.0,2.0,1,2.0,0.0
Aktiv Måleri Aktiebolag,5562990605,2.0,51.0,3.0,2,0.0,0.0
Aktiv Sol i Nöbbele AB,5568369937,2.0,59.0,5.0,2,12.0,0.0
Akustikmontage i Borlänge AB,5565893657,2.0,57.0,2.0,1,5.0,0.0
Akustikverkstan Montage AB,5590499660,4.0,38.0,3.0,2,3.0,0.0
Lundquist Plattor & Mattor AB,5568310774,3.0,50.0,2.0,1,5.0,0.0
Total Entreprenad i Motala AB,5563111102,7.0,52.0,2.0,1,1.0,0.0
Albert Engstrands Golvfirma Aktiebolag,5561326165,4.0,54.0,2.0,1,4.0,0.0
Aldéns EL AB,5569287948,2.0,48.0,6.0,5,3.0,0.0
Ale Portar AB,5591075469,3.0,47.0,2.0,1,5.0,0.0
Alexanderssons Elektriska Aktiebolag,5561362624,3.0,63.0,4.0,3,4.0,0.0
Alf Ericson i Lerum Elektriska AB,5566650973,2.0,42.0,3.0,2,1.0,0.0
All Fasad i Sverige AB,5590890488,4.0,49.0,14.0,13,27.0,0.0
Allakustik Underbara Tak GBG AB,5590263074,5.0,48.0,7.0,5,1.0,0.0
Allan Eriksson Mark Aktiebolag,5564373669,5.0,54.0,4.0,3,0.0,0.0
Allbygg & Entreprenad Vikbolandet AB,5568803992,2.0,38.0,2.0,1,1.0,0.0
Allent AB,5566342589,2.0,53.0,4.0,3,11.0,0.0
Allerby Måleri AB,5562995828,2.0,50.0,14.0,13,16.0,0.0
Allfix Bokenäs AB,5569122541,3.0,53.0,4.0,1,2.0,0.0
Allhiss Sverige Aktiebolag,5564102472,,,3.0,3,8.0,0.0
Allklimat Fastigheter AB,5568402019,3.0,33.0,2.0,1,1.0,0.0
Allmänna Rörjouren i Sollentuna AB,5567877674,2.0,54.0,2.0,1,1.0,0.0
Allpipe Sverige AB,5590506191,3.0,38.0,3.0,2,0.0,0.0
Allschakt Miljö Varberg AB,5590247036,3.0,50.0,4.0,3,1.0,0.0
Allt i Murning i Karlshamn Aktiebolag,5561924985,4.0,45.0,2.0,1,4.0,0.0
Allt inom Smide & Rostfritt                       i Jordbro AB,5568833924,2.0,63.0,3.0,2,8.0,0.0
ALLTEK Uppsala AB,5566384953,2.0,51.0,2.0,1,7.0,0.0
ALLTRAC MARKENTREPRENAD Aktiebolag,5564128469,2.0,54.0,3.0,2,2.0,0.0
Allwi Produkter AB,5569987554,6.0,42.0,10.0,8,11.0,0.0
All-Round Låsservice Aktiebolag,5561203083,2.0,42.0,2.0,1,2.0,0.0
Almroth Construction AB,5591050553,2.0,54.0,9.0,8,6.0,0.0
Alpholmen Produktion AB,5567337505,4.0,39.0,2.0,1,2.0,0.0
Alpid AB,5567001572,2.0,55.0,8.0,7,3.0,0.0
Alsike Plattsättning AB,5568798614,2.0,62.0,3.0,2,10.0,0.0
Alstermark Bygg & Konsulting Aktiebolag,5565234522,3.0,57.0,4.0,2,2.0,0.0
ALT Hiss Göteborg AB,5565543955,3.0,61.0,6.0,5,3.0,0.0
ALT Hiss Norrköping AB,5567280440,4.0,52.0,6.0,5,3.0,0.0
ALT Hiss Stockholm AB,5566864434,3.0,61.0,6.0,5,3.0,0.0
Alvdapa Aktiebolag,5564475969,3.0,53.0,8.0,7,6.0,0.0
Alviks elektriska AB,5569445496,2.0,36.0,5.0,3,2.0,0.0
Alviks Måleri i Uppsala AB,5566396924,4.0,57.0,2.0,1,0.0,0.0
Alviks Traktor Aktiebolag,5562651066,3.0,55.0,8.0,7,9.0,0.0
AM Aros Måleri AB,5590255062,2.0,50.0,2.0,1,7.0,0.0
Ambra AB,5565317806,4.0,46.0,5.0,4,3.0,0.0
Ambra Nord AB,5563833531,3.0,47.0,5.0,4,3.0,0.0
Amex Solskydd AB,5567276042,4.0,41.0,4.0,1,5.0,0.0
Anders Hedlund Byggnads AB,5569754863,3.0,60.0,5.0,4,3.0,0.0
Anders Produktion AB,5567008197,2.0,55.0,7.0,6,6.0,0.0
Anders & Christian El AB,5568209521,4.0,48.0,4.0,1,10.0,0.0
André Konsulting AB,5568939739,2.0,51.0,4.0,3,12.0,0.0
Andreas Andersen AB,5567532345,2.0,59.0,2.0,1,11.0,0.0
Andreas Hagmans Grävmaskiner AB,5590323688,3.0,29.0,5.0,4,3.0,0.25
Andréasons Plåtarbeten AB,5566201975,4.0,58.0,3.0,2,0.0,0.0
Andreasson & Lindh Entreprenad AB,5566362637,3.0,41.0,2.0,1,5.0,0.0
Andrés Måleri AB,5566171939,2.0,50.0,9.0,7,16.0,0.0
ANFRO AB,5567865521,2.0,58.0,4.0,3,1.0,0.0
Angseruds Kakel AB,5569959736,2.0,41.0,9.0,5,7.0,0.0
Annedal Bygg och Badrum AB,5590419643,2.0,44.0,2.0,1,0.0,0.0
Annelunds Tak AB,5566601299,4.0,47.0,4.0,3,1.0,0.0
ANNOs Elinstallationer AB,5569292260,2.0,50.0,5.0,4,2.0,0.0
Antenngubben Aktiebolag,5569554768,4.0,60.0,6.0,4,6.0,0.0
Antopus Concrete Solution AB,5569778888,3.0,48.0,2.0,1,8.0,0.0
APC Elinstallatören Aktiebolag,5564730801,7.0,57.0,9.0,8,7.0,0.0
Aplareds Gräv & Anläggning AB,5567768329,2.0,48.0,3.0,2,4.0,0.0
Apptronic Elteknik AB,5566977970,6.0,60.0,3.0,2,4.0,0.0
ApQ Power AB,5590038849,3.0,57.0,9.0,8,13.0,0.0
Aquabygg AB,5567377204,2.0,40.0,2.0,1,4.0,0.0
AR Belysningsteknik AB,5567167480,4.0,46.0,3.0,2,1.0,0.0
AR Bygg Aktiebolag,5564615556,3.0,64.0,25.0,15,49.0,0.0
AR Vallhamra Servicefastigheter AB,5568589823,3.0,57.0,52.0,51,119.0,0.0
ARDEI GROUP AB,5590561998,2.0,30.0,2.0,1,1.0,0.0
Arena Tak AB,5590760707,3.0,50.0,3.0,2,0.0,0.0
Arka Golv & Måleri AB,5590066071,3.0,48.0,3.0,2,1.0,0.0
Arkitekt & Byggservice i Stockholm AB,5590107925,4.0,57.0,4.0,3,3.0,0.0
AKrit Hus AB,5590329107,2.0,48.0,6.0,5,9.0,0.0
ARMENTA Mark & Betong AB,5590087259,2.0,55.0,7.0,3,11.0,0.0
Arne Lundquist Golv och Industri i Umeå Aktiebolag,5566724372,3.0,49.0,10.0,9,9.0,0.0
Arne Lundquist Måleri Aktiebolag,5560831223,4.0,52.0,5.0,4,10.0,0.25
Arne Lundquist Måleri i Umeå AB,5567328470,3.0,50.0,4.0,3,3.0,0.0
Arnessons Betongborrning AB,5561990226,3.0,46.0,9.0,8,5.0,0.0
Arnessons Service AB,5569657298,3.0,46.0,9.0,8,5.0,0.0
Aros Water Aktiebolag,5564390143,3.0,57.0,4.0,3,2.0,0.0
Artekta Byggnads AB,5568207319,2.0,47.0,3.0,2,1.0,0.0
ASK Sprinkler AB,5590379425,3.0,48.0,3.0,2,1.0,0.0
Askims Trädgårdsanläggningar Aktiebolag,5564182086,2.0,70.0,3.0,2,2.0,0.0
Assemblin Installation AB,5562240944,3.0,50.0,7.0,6,29.0,0.0
Assmundsons Golv AB,5565251088,5.0,68.0,3.0,2,4.0,0.0
Astate Bygg AB,5590781786,6.0,54.0,10.0,9,47.0,0.0
Astinger & Chotkowski Service AB,5568217136,3.0,50.0,2.0,1,0.0,0.0
At front skyltentreprenad AB,5566776166,4.0,43.0,4.0,3,1.0,0.0
AT Installation Aktiebolag,5560805458,4.0,59.0,3.0,2,1.0,0.0
AT Isolering AB,5590616040,2.0,54.0,3.0,2,0.0,0.0
ATAB Aluminium AB,5567788608,2.0,68.0,2.0,1,2.0,0.0
ATI's El och Energiteknik AB,5565240701,2.0,40.0,3.0,2,5.0,0.0
ATLA Industriservice AB,5565734935,3.0,50.0,5.0,4,1.0,0.0
Atmosfär Partner AB,5567284244,5.0,57.0,5.0,4,8.0,0.0
Atrox Group AB,5567301808,3.0,51.0,6.0,5,4.0,0.0
Attunda El- o Telecom AB,5567275556,7.0,48.0,2.0,1,6.0,0.0
Audax Aktiebolag,5565898300,2.0,69.0,4.0,3,13.0,0.0
AULIK Bygg & Plattsättning AB,5568314503,2.0,35.0,3.0,2,2.0,0.0
AVENT Drift & Innemiljö AB,5565679072,4.0,46.0,9.0,8,10.0,0.0
Avloppshuset i Stockholm AB,5564034030,,,1.0,1,3.0,0.0
AW Elteam Aktiebolag,5562173921,5.0,48.0,4.0,3,0.0,0.0
AWJ ELTEKNIK AB,5569341539,3.0,33.0,3.0,2,6.0,0.0
Axali Montage AB,5568626211,3.0,66.0,3.0,2,10.0,0.0
B Anderssons Rörläggeri AB,5569019911,2.0,50.0,2.0,1,0.0,0.0
B E Värme & Sanitet Aktiebolag,5564279692,3.0,65.0,2.0,1,1.0,0.0
B M R Svealand AB,5567745574,2.0,64.0,3.0,2,2.0,0.0
B & L Lund Aktiebolag,5560978297,4.0,55.0,2.0,1,2.0,0.0
B. Jarl-montage i Bromölla AB,5567655013,2.0,48.0,3.0,2,0.0,0.0
B.G. Hansson Aktiebolag,5562905959,3.0,55.0,11.0,10,13.0,0.0
BAB anläggning AB,5567712707,3.0,54.0,30.0,29,25.0,0.0
Badrumsdax Sverige AB,5569256216,2.0,40.0,6.0,3,5.0,0.0
Balcona Aktiebolag,5560761693,3.0,59.0,5.0,4,13.0,0.0
Baltic Offshore Kalmar AB,5561788505,3.0,59.0,6.0,5,1.0,0.0
Barkarby Glasmästeri AB,5564515061,2.0,52.0,3.0,2,2.0,0.0
Baykoff AB,5569470056,2.0,35.0,2.0,1,2.0,0.0
BayWa r.e. Scandinavia AB,5568856503,3.0,52.0,14.0,13,20.0,0.0
BB mark AB,5566308275,2.0,51.0,3.0,2,3.0,0.0
BBM Fasadputs AB,5567053912,2.0,44.0,2.0,1,4.0,0.0
BBM Golv & Bad AB,5565897484,4.0,43.0,21.0,20,5.0,0.0
BBM i Dalarna AB,5565365110,6.0,58.0,3.0,2,4.0,0.0
Lundblads Golv i Västervik AB,5563656551,3.0,52.0,3.0,2,0.0,0.0
Becthel Entreprenad AB,5569316259,2.0,67.0,4.0,3,12.0,0.0
Beg Bygg Sanering i Södertälje Aktiebolag,5563350783,4.0,55.0,4.0,3,3.0,0.0
Belamo AB,5566267885,2.0,48.0,6.0,5,4.0,0.4
El & Belysningsteknik i Eskilstuna AB,5568316078,4.0,44.0,2.0,1,0.0,0.0
BEMAB Mark och utemiljö AB,5564408846,3.0,52.0,2.0,1,1.0,0.0
BeMå-LYFT i Örebro Aktiebolag,5562131382,3.0,61.0,3.0,2,9.0,0.0
BN Schakt AB,5564469483,5.0,46.0,2.0,1,0.0,0.0
Bengt Stenberg Måleri i Jönköping Aktiebolag,5565186748,3.0,52.0,2.0,1,5.0,0.0
Bengt Stenberg Måleri i Östhammar Aktiebolag,5564681582,3.0,52.0,5.0,4,3.0,0.0
Bengt-Ove's Gräv AB,5569032856,3.0,53.0,2.0,1,0.0,0.0
Benny Nilssons Byggnads Aktiebolag,5561994426,4.0,56.0,12.0,11,10.0,0.0
Bentech Ingenjörsaktiebolag,5561689844,3.0,49.0,2.0,1,3.0,0.0
Berg & Betongtätning i Sverige AB,5590596473,4.0,53.0,2.0,1,1.0,0.0
Berg & Brykt Entreprenad AB,5567736011,3.0,66.0,3.0,2,0.0,0.0
Berg & Makadam i Grängesberg Aktiebolag,5561904276,3.0,71.0,3.0,2,3.0,0.0
Berga Markentreprenad AB,5569171761,2.0,27.0,3.0,2,2.0,0.0
Bergendahls El Energiteknik AB,5567655286,4.0,52.0,4.0,3,3.0,0.0
Bergendahls El i Kungälv AB,5565362448,3.0,48.0,2.0,1,5.0,0.0
Bergentreprenad i Uppsala AB,5567451041,2.0,42.0,3.0,2,3.0,0.0
Bergenudds Byggnads Aktiebolag,5562341130,,,1.0,1,8.0,0.0
Bergförstärkningsgruppen i Sverige AB,5568901333,3.0,51.0,2.0,1,3.0,0.0
Berggren Byggare i Stuvsta Aktiebolag,5565535621,2.0,50.0,2.0,1,3.0,0.0
BergLastning Gve AB,5590586607,3.0,62.0,16.0,15,7.0,0.0
Berglid Allservice AB,5568568058,2.0,51.0,3.0,2,7.0,0.0
Berglund Bygg AB,5564601093,4.0,37.0,4.0,3,12.0,0.0
Bergqvist&Son Schakt AB,5569994105,,,1.0,1,6.0,0.0
Bergs El & Regler AB,5565308110,2.0,42.0,4.0,1,0.0,0.0
Bergs Låsverkstad Aktiebolag,5561480970,4.0,45.0,3.0,2,6.0,0.0
Bergslagens Spårservice AB,5590659875,3.0,42.0,6.0,4,7.0,0.0
Bergslagshus i Grythyttan AB,5569674061,2.0,54.0,3.0,2,11.0,0.0
Bergslagskyl i Dalarna Aktiebolag,5564635968,3.0,52.0,2.0,1,6.0,0.0
Berlings Glasmästeri AB,5563506632,2.0,52.0,11.0,10,6.0,0.0
Bert Bergqvist Bygg Aktiebolag,5564368024,4.0,52.0,6.0,5,4.0,0.0
BESAB Teknik AB,5567047955,4.0,59.0,7.0,6,5.0,0.0
BEST Fastighet AB,5567473862,2.0,49.0,16.0,15,8.0,0.0
Betonghåltagarna Patrick Malmqvist i Huskvarna    Aktiebolag,5565052346,2.0,57.0,7.0,6,27.0,0.0
Betonghåltagningar Nordborr AB,5564265154,3.0,65.0,3.0,2,22.0,0.0
Betongteamet Riv & Håltagning i Bergslagen AB,5565525606,3.0,46.0,2.0,1,9.0,0.0
Betongtjänst i Vassmolösa Aktiebolag,5564719440,2.0,54.0,5.0,4,7.0,0.0
Betonmast Mälardalen AB,5590991898,3.0,49.0,2.0,1,0.0,0.0
Be-Lo Elektriska Aktiebolag,5564624855,4.0,58.0,6.0,5,3.0,0.0
PL Kakelservice i Gävle AB,5568747496,2.0,55.0,2.0,1,4.0,0.0
BFB Gruppen AB,5567577829,3.0,41.0,5.0,4,16.0,0.0
BGT Liden AB,5590168232,2.0,46.0,4.0,3,4.0,0.0
BH Markentreprenad & Konsult Aktiebolag,5562428515,3.0,53.0,2.0,1,4.0,0.0
BIAB Entreprenad AB,5560807439,3.0,51.0,2.0,1,4.0,0.0
BIAB Lås & Larm Aktiebolag,5563108223,2.0,51.0,4.0,3,6.0,0.0
Billdals Bygg AB,5563698454,2.0,47.0,2.0,1,2.0,0.0
Billesholms Bygg AB,5568697303,2.0,40.0,2.0,1,0.0,0.0
Billinge Kyl Aktiebolag,5564653706,4.0,55.0,2.0,1,3.0,0.0
BIMEKS Mur & Puts i Skåne AB,5568152143,2.0,47.0,2.0,1,4.0,0.0
Biscaya Tak AB,5563160380,4.0,45.0,2.0,1,0.0,0.0
Biscaya Tak Stockholm AB,5568238512,3.0,59.0,5.0,4,7.0,0.0
Biskopsmåla Bygg AB,5568699515,2.0,61.0,2.0,1,0.0,0.0
Bizcore AB,5566230032,2.0,61.0,13.0,12,61.0,0.0
BJ Värmemontage AB,5566374269,2.0,49.0,2.0,1,0.0,0.0
BJC Group AB,5564388956,5.0,54.0,10.0,9,10.0,0.0
Bjesse Bygg AB,5590544861,4.0,46.0,5.0,4,3.0,0.0
Bjurbäcks Bygg & Plåt Aktiebolag,5565374294,4.0,43.0,8.0,3,1.0,0.0
Bjärke Energi AB,5564950920,7.0,57.0,5.0,3,4.0,0.0
Björkfors Gräv & Markservice Aktiebolag,5563859676,2.0,53.0,2.0,1,0.0,0.0
Björkholms El Aktiebolag,5560952094,2.0,50.0,3.0,2,8.0,0.0
Björkmans Glasmästeri Hallstahammar AB,5565667358,2.0,57.0,4.0,3,10.0,0.0
Björkners Elektriska Aktiebolag,5562854504,2.0,62.0,2.0,1,2.0,0.0
Björkstadens Golv AB,5567308977,3.0,40.0,3.0,2,1.0,0.0
Björn Franzéns Rör AB,5565853255,3.0,51.0,3.0,2,7.0,0.0
Björn Persson Plåtslageri Aktiebolag,5563363992,2.0,56.0,6.0,5,13.0,0.0
Bergendahls EL Syd AB,5568920804,5.0,45.0,5.0,4,3.0,0.0
Björnberget Bygg AB,5568908825,4.0,40.0,6.0,5,10.0,0.0
Björnens Maskin & Lyft entreprenad AB,5569897944,2.0,43.0,2.0,1,1.0,0.0
BL El & Design AB,5566734983,5.0,52.0,5.0,4,3.0,0.0
BL Håltagningsbolag AB,5566885124,2.0,45.0,4.0,3,1.0,0.0
Blacklink Networks AB,5568618259,2.0,54.0,9.0,8,8.0,0.0
Bladängens Bygg & Service AB,5566539556,3.0,62.0,3.0,2,0.0,0.0
Blarck Sverige AB,5569271579,4.0,42.0,2.0,1,9.0,0.0
BLD Entreprenad AB,5569001307,3.0,54.0,3.0,2,1.0,0.0
Bleck & Plåt i Ystad Aktiebolag,5562553858,2.0,49.0,15.0,14,10.0,0.0
Bleck- och Plåtslageriet i Eskilstuna AB,5562629005,2.0,60.0,5.0,4,8.0,0.0
Blekinge Bygg & Anläggning AB,5568523699,4.0,44.0,6.0,5,12.0,0.0
Blekinge Byggentreprenad AB,5564427705,3.0,45.0,3.0,2,1.0,0.0
Blekinge Kakel & Klinker AB,5568427255,3.0,44.0,2.0,1,1.0,0.0
Blekinge Larmpartner AB,5568662174,2.0,46.0,11.0,10,73.0,0.0
Blidö Mur- och Puts Aktiebolag,5562167188,3.0,53.0,4.0,3,9.0,0.0
BLISAB Elteknik AB,5590794581,3.0,47.0,4.0,3,2.0,0.0
Blomquist Kylteknik AB,5567442495,3.0,52.0,9.0,8,1.0,0.0
Blomquist Rör AB,5567449193,3.0,52.0,9.0,8,1.0,0.0
Blomquist Ventilation AB,5563224053,3.0,52.0,16.0,15,1.0,0.0
BLP entreprenad AB,5562246412,2.0,62.0,2.0,1,3.0,0.0
Bluepuma EL AB,5569369951,,,6.0,6,6.0,0.0
BM Fuktteknik AB,5565920146,2.0,50.0,4.0,3,2.0,0.0
BMA i Hallsberg AB,5567950695,3.0,56.0,10.0,9,2.0,0.0
BMJ Betonghåltagning & Entreprenad AB,5564333507,3.0,37.0,2.0,1,2.0,0.0
BMM i Tierp AB,5567444178,2.0,50.0,7.0,3,6.0,0.0
BMS Kranar AB,5565882692,4.0,54.0,3.0,2,13.0,0.0
BN Energikonsult Aktiebolag,5563951341,3.0,58.0,2.0,1,6.0,0.0
BN Måleri & Golv Aktiebolag,5562485796,7.0,51.0,3.0,2,3.0,0.0
Bo och Bygg Service i Fagersta AB,5566511712,2.0,60.0,6.0,3,6.0,0.0
Bo Tidblom Entreprenad och Sjötransport           Aktiebolag,5564449709,2.0,54.0,2.0,1,2.0,0.0
