company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
A Brash AB,5568391519,2,39,Brash; Andrew William,3,1,John G Construction AB|A Brash Stockholm AB|A Brash AB
AK Schakt o Entreprenad AB,5567775282,3,57,Karlsson; Andréas Reinar,3,7,Tegelvretens Gård|AK Schakt o Entreprenad AB|Tegelravinen AB
AKarlsson Invest AB,5569263329,2,43,Karlsson; Andreas Gustaf Gunnar,4,3,AKarlsson Invest AB|Sydostlägenheter AB|Selenvägen AB|AKarlsson Byggnads AB
AKD Bygg & Kakel AB,5567624118,3,32,Jonsson; David Mikael,2,1,Stil & Snitz AB|AKD Bygg & Kakel AB
AKD Bygg & Kakel AB,5567624118,3,32,Degerman; Niklas Ove Mattias,1,2,AKD Bygg & Kakel AB
Akrima Bygg Aktiebolag,5561826099,2,51,Sjönvall; Marcus Albert Lennart,2,2,MS2 Bygg och Konsult AB|Akrima Bygg Aktiebolag
Aktiv Måleri Aktiebolag,5562990605,2,51,Nygårds; Lars Peter,3,0,Skantz Måleri Aktiebolag|Aktiv A'rum AB|Aktiv Måleri Aktiebolag
Aktiv Sol i Nöbbele AB,5568369937,2,59,Nyberg; Bernt Lorenz,3,3,Bygg och Målerihuset i Värnamo AB|Nöbbele Invest AB|Aktiv Sol i Nöbbele AB
Aktiv Sol i Nöbbele AB,5568369937,2,59,Nyberg; Eva Marianne,2,9,Nöbbele Invest AB|Aktiv Sol i Nöbbele AB
Akustikmontage i Borlänge AB,5565893657,2,57,Ehl‚n; Thomas Joacim,2,5,Eriksson's Takmontage i Borlänge AB|Akustikmontage i Borlänge AB
Akustikverkstan Montage AB,5590499660,4,38,Johansson; Hans Olav Nils-Petter,3,3,Akustikverkstan Montage AB|Vänermeks Plåt AB|Augmentena AB
Lundquist Plattor & Mattor AB,5568310774,3,50,Olsson; Pär Mikael,2,5,Arne Lundquist Måleri i Umeå AB|Lundquist Plattor & Mattor AB
Total Entreprenad i Motala AB,5563111102,7,52,Karlsson; Nils Fredrik,2,1,Total Entreprenad i Motala AB|Group of Three AB
Albert Engstrands Golvfirma Aktiebolag,5561326165,4,54,Engstrand; Per Joel,2,4,Hubista AB|Albert Engstrands Golvfirma Aktiebolag
Albin Mur & Puts AB,5590631734,2,46,Aljkanovic; Izudin,1,1,Albin Mur & Puts AB
Aldéns EL AB,5569287948,2,48,Svensson; Per Arne,6,3,Rentmarket i Norrtälje AB|Aldéns EL AB|Teknikexperten i Stockholm AB|Team Teknik & Event i Sälen AB|Marsom Fastighet AB|Fastighetsteknik i Roslagen AB
Ale Portar AB,5591075469,3,47,Kuusinen; Ville-Erik,2,5,Bostadsrättsföreningen Furuhöjd|Ale Portar AB
Alexanderssons Elektriska Aktiebolag,5561362624,3,63,Alexandersson; Leif Håkan,4,4,Alexanderssons Elektriska Aktiebolag|Bostadsrättsföreningen Botkyrka Hantverkshus|RBB 142 HMS Ystad rederi Ekonomisk förening|Rederi V150 Jägaren Ekonomisk förening
Alf Ericson i Lerum Elektriska AB,5566650973,2,42,Zackaroff; Lars Ove,3,1,Lars Zacharoff Fastighets AB|Alf Ericson i Lerum Elektriska AB|LZ Förvaltning i Lerum AB
Alingsås Byggkonsult AB,5590777883,2,46,Leivik; Niklas Björn Erik,1,10,Alingsås Byggkonsult AB
All Fasad i Sverige AB,5590890488,4,49,Öberg; Stefan Teodor,14,27,Plåtpartnergruppen Sverige AB|Aktiebolaget Lillåns Bleck och Plåt|Aktiebolaget Enebybergs Plåtslageri|Aluminium Land AB|All Fasad i Sverige AB|Deje Husplåt Aktiebolag|Skara Plåtslageri AB|Plåtpartnergruppen Service Sverige AB|Kompaniet i Örebro AB|Hanqvist & Öberg AB|Deje Plåtförvaltning AB|Thyberg & Öberg Förvaltning AB|ÖBAS AB|Kärf & Öberg Förvaltning AB
Allakustik Underbara Tak GBG AB,5590263074,5,48,Sköld; Marcus Sven Fredrik,7,1,Allakustik Underbara Tak AB|We Ar(e) Group AB|Rönnmarks Undertak AB|Allakustik Underbara Tak GBG AB|Allakustik Underbara Tak SYD AB|MEIST Invest AB
Allan Eriksson Mark Aktiebolag,5564373669,5,54,Falk; Mårten Joakim,4,0,Allan Eriksson Mark Aktiebolag|Silverstadens Delikatesser AB|Falks jord; skog och konsult|ATIA Fastigheter AB
allbetong i Fjärdhundra AB,5568512361,2,47,Ålin; Jens Fredrik,1,3,allbetong i Fjärdhundra AB
Allbygg & Entreprenad Vikbolandet AB,5568803992,2,38,Osju; Malin Elisabeth Kristina,2,1,Allbygg & Entreprenad Dalarna AB|Allbygg & Entreprenad Vikbolandet AB
Allent AB,5566342589,2,53,Hedlund; Kurt Olof,4,11,Allent mark & transport AB|Allent AB|Megrundet Invest AB|Seniorexperten AB
Allerby Måleri AB,5562995828,2,50,Allerby; Karl Viktor,14,16,Allerby Måleri AB|EKAPAIF AB|Entreprenörskapital Orillon AB|Entreprenörskapital Brisur AB|Sid Holding AB|Entreprenörskapital Glacis AB|Entreprenörskapital Kynett AB|Entreprenörskapital Tenalj AB|Entreprenörskapital Barbett AB|Entreprenörskapital Apparell AB|Entreprenörskapital Ravelin AB|Entreprenörskapital Kasematt AB|Entreprenörskapital Kurtin AB|Entreprenörskapital Cordon AB
Allfix Bokenäs AB,5569122541,3,53,Palmberg; Gisela Louise,2,1,Gåsehogens eko lantbruk AB|Allfix Bokenäs AB
Allfix Bokenäs AB,5569122541,3,53,Palmberg; Per Martin,2,1,Gåsehogens eko lantbruk AB|Allfix Bokenäs AB
ALLGLAS & Claesing Fastighets Service AB,5562812577,2,58,Jägholm; Leif Thomas,1,9,ALLGLAS & Claesing Fastighets Service AB
Allhiss Sverige Aktiebolag,5564102472,nan,nan,Holm; Carl Johan Marcus,3,8,Hissbyrån AB|Hissen Elektro Mekanisk Verkstad Aktiebolag|Aktiebolaget Marifa
Allklimat Fastigheter AB,5568402019,3,33,Rooth; Per Anton Josef,2,1,J&A Allservice AB|Allklimat Fastigheter AB
Allmänna Rörjouren i Sollentuna AB,5567877674,2,54,Hammar; Jan Mikael,2,1,Allmänna Rörjouren i Sollentuna AB|Jh Allmänna Rörjouren I Sollentuna
Allpipe Sverige AB,5590506191,3,38,Mirheden; Kenny Ola,3,0,Palok i Sverige AB|Allpipe Relining AB|Allpipe Sverige AB
Allschakt Miljö Varberg AB,5590247036,3,50,Andersson; Thomas Peter,4,1,Markteknik Sverige AB|Allschakt Miljö Varberg AB|Bergkraft Fastighet AB|BERGKRAFT SVERIGE AB
Allt i Murning i Karlshamn Aktiebolag,5561924985,4,45,Svensson; Eric Anders,2,4,Allt i Murning i Karlshamn Aktiebolag|Karlshamns Plattsättning Aktiebolag
Allt inom Smide & Rostfritt                       i Jordbro AB,5568833924,2,63,Ledin; Per Johan,3,8,AISR Holding AB|Allt inom Smide & Rostfritt                       i Jordbro AB|Johand Fastigheter AB
ALLTEK Uppsala AB,5566384953,2,51,Boberg; Erik Patrik,2,7,Svensk Ungdoms framtid inom motorcross            ekonomisk förening|ALLTEK Uppsala AB
ALLTRAC MARKENTREPRENAD Aktiebolag,5564128469,2,54,Jörgensson; Sven Patrik,3,2,Röda Ladan AB|ALLTRAC MARKENTREPRENAD Aktiebolag|Djur & Fritid i Täby AB
Allwi Produkter AB,5569987554,6,42,Vilhelmsson; Mats Krister,8,9,VittarydsVerken AB|Ejron Fastighets AB|Ejron logistik AB|Allwi Produkter AB|Codyx AB|MABI AB|Ejron Enterprise AB|MAGÖ Förvaltning Handelsbolag
Allwi Produkter AB,5569987554,6,42,Lindsmyr; Olof Mattias,2,2,Lindskoghs Bygg i Ljungby AB|Allwi Produkter AB
All-Round Låsservice Aktiebolag,5561203083,2,42,Janusz; Magnus,2,2,All-Round Låsservice Aktiebolag|Magnus & Rosa Holding AB
All-Svets Energi Aktiebolag,5562432640,3,41,Wahlberg; Mathias Ingemar,1,0,All-Svets Energi Aktiebolag
Almroth Construction AB,5591050553,2,54,Henriksson; Jens Frederik Lennart,9,6,Almroth Bygg AB|Almroth Produktion AB|Almroth Construction AB|Kvicksilvret Materiel och Uthyrning AB|Bygg och Projektutveckling i Norrköping AB|Arbor Familjeläkare AB|Ostkustens Zoologiska Konservator|Norrköping Kimstad 53:1 AB|Almroth Holding AB
Alpholmen Produktion AB,5567337505,4,39,Roxlid; Max Jacob,2,2,Alpholmen Produktion AB|Bostadsrättsföreningen Axberget
Alpid AB,5567001572,2,55,Dellmark; Ernst Ture Mats,8,3,Alpid AB|Alyata Projektledning AB|Alyata Sverige Aktiebolag|Alyata Holding Aktiebolag|Alyata Aktiebolag|Persil Invest AB|Alyata Helhetslösning AB|Sophie Dellmark AB
Alsike Plattsättning AB,5568798614,2,62,Olander; Per Ivan,3,10,Alsike Plattsättning AB|Per Olander AB|Knivsta Plattsättning
Alstermark Bygg & Konsulting Aktiebolag,5565234522,3,57,Alstermark; Peter,4,2,Alstermark Bygg & Konsulting Aktiebolag|Alster Sthlm AB|Bostadsrättsföreningen Koncepthallar Bro-Skällsta
Alstermo Entreprenad AB,5561579540,4,39,Johansson; Annika Anna-Kristina,1,3,Alstermo Entreprenad AB
ALT Hiss Göteborg AB,5565543955,3,61,Björkqvist; Göran Christer,6,3,ALT Hiss AB|ALT Hiss Stockholm AB|ALT Hiss Norrköping AB|ALT Hiss Göteborg AB|G. Tropp Hiss & El AB|Arbetsrätt & HR Lena Björkqvist AB
ALT Hiss Norrköping AB,5567280440,4,52,Björkqvist; Göran Christer,6,3,ALT Hiss AB|ALT Hiss Stockholm AB|ALT Hiss Norrköping AB|ALT Hiss Göteborg AB|G. Tropp Hiss & El AB|Arbetsrätt & HR Lena Björkqvist AB
ALT Hiss Stockholm AB,5566864434,3,61,Björkqvist; Göran Christer,6,3,ALT Hiss AB|ALT Hiss Stockholm AB|ALT Hiss Norrköping AB|ALT Hiss Göteborg AB|G. Tropp Hiss & El AB|Arbetsrätt & HR Lena Björkqvist AB
AluminumSteelConstruction Sweden AB,5569018723,2,42,Jakubiec; Daniel Edward,1,0,AluminumSteelConstruction Sweden AB
Alutorp Bygg AB,5565700662,2,49,Barle; Ulf Magnus,1,2,Alutorp Bygg AB
Alvdapa Aktiebolag,5564475969,3,53,Svedberg; Per Olof,8,6,Swelöv Ställning och Montage AB|Swelöv Ställningsmontage AB|Alvdapa Aktiebolag|Swelöv AB|Swelöv Holding AB|Pom fastigheter handelsbolag|Swelövia Stockholm AB|Jannes Ställnings Service AB
Alviks elektriska AB,5569445496,2,36,Hagenbjörk; Joakim,5,2,A2 Gruppens Elentreprenad AB|Stockholm Boats AB|Alviks elektriska AB|A2 Holding AB
Alviks Måleri i Uppsala AB,5566396924,4,57,Bergström; Mårten Emanuel,2,0,Alviks Måleri i Uppsala AB|TränaNära List AB
Alviks Traktor Aktiebolag,5562651066,3,55,Forsström; Per Joakim,8,9,VTG Sverige AB|VTG Entreprenad AB|Alviks Traktor Aktiebolag|Alnö Byggtjänst AB|Alnö Alltjänst AB|Bio Logistik i Sverige AB|Kustfrakt i Norrland AB|P.F Maskin AB
AM Aros Måleri AB,5590255062,2,50,Andersson; Bo Fredrik Bengt,2,7,Bostadsrättsföreningen Jens-Britta|AM Aros Måleri AB
Ambra AB,5565317806,4,46,Johansson; Bertil Mikael,5,3,Ambra AB|Ambra Nord AB|Karlfast AB|Renön Consulting AB|Dannes Kockhjälp AB
Ambra Nord AB,5563833531,3,47,Johansson; Bertil Mikael,5,3,Ambra AB|Ambra Nord AB|Karlfast AB|Renön Consulting AB|Dannes Kockhjälp AB
Amex Solskydd AB,5567276042,4,41,Gilpathis; Panos,2,3,EP Norden AB|Amex Solskydd AB
Amex Solskydd AB,5567276042,4,41,Novakovic; Zvonimir,2,2,EP Norden AB|Amex Solskydd AB
Anculusbygg AB,5567738504,4,46,Moczek; Mariusz,1,1,Anculusbygg AB
Anculusbygg AB,5567738504,4,46,Moczek; Michal,1,2,Anculusbygg AB
Anders Hedlund Byggnads AB,5569754863,3,60,Hedlund; Anders,5,3,Anders Hedlund Byggnads AB|Anders Hedlund Fastigheter AB|Anders Hedlund Holding AB|Anders Hedlund Maskin & Entreprenad AB|Balgripen 2 i Helsingborg AB
Anders Produktion AB,5567008197,2,55,Westerberg; Karl Anders,7,6,Anders Produktion AB|Anders Produktion Fastigheter AB|Anders Mögelsanering Måleri och Produktion|Anders Produktion Uthyrning AB|Anders Produktion Fastighetsutveckling AB|JW Air AB|Westerberg Holding AB
Anders & Christian El AB,5568209521,4,48,Burkards; Per Anders Edvard,2,3,Anders & Christian El AB|BurSin Holding AB
Anders & Christian El AB,5568209521,4,48,Sindeborg; Christian Philip,2,7,Anders & Christian El AB|BurSin Holding AB
Anderssons Elektriska i Stockholm AB,5567964522,3,46,Aspegren; Jonas Vilhelm,1,0,Anderssons Elektriska i Stockholm AB
André Konsulting AB,5568939739,2,51,Rehak; André Lajos,4,12,André Konsulting AB|Bill & Bull Bygg och Måleri AB|André konsulting|Kohv AB
Andreas Andersen AB,5567532345,2,59,Andersen; Jesper Andréas,2,11,Inside Out Interiör & Trädgård AB|Andreas Andersen AB
Andreas Hagmans Grävmaskiner AB,5590323688,3,29,Hagman; Andreas Ingemar,5,3,Andreas Hagmans Grävmaskiner AB|AB PowerNetworks i Kalmar|A.HAGMANS GRÄVMASKINER|Hagmans Byggnadsentreprenad i Kalmar AB|Hildelunds Holding AB
Andréasons Plåtarbeten AB,5566201975,4,58,Larsson; Kjell Ingemar,3,0,K.Larsson Plåtkonsult AB|Walfab AB|Andréasons Plåtarbeten AB
Andreasson & Lindh Entreprenad AB,5566362637,3,41,Andreasson; Per Henrik,2,5,Andreasson & Lindh Entreprenad AB|Glasshults Entreprenad
Andrés Måleri AB,5566171939,2,50,Andersson; Mats Christer André,7,13,Andrés Måleri AB|Helpsam AB|FÖRETAGSCOACH Sandberg AB|Boendet Salladen AB|OIC Facility Services AB|Svea Rike Måleri AB|Andrés Måleri Sverige gruppen AB
Andrés Måleri AB,5566171939,2,50,Gårdenknut; Daniel Fredrik,2,3,Andrés Måleri AB|Bostadsrättsföreningen Slavsta Hage
Andwe Bygg AB,5566148267,3,43,Wennskär; Carl Martin,1,0,Andwe Bygg AB
ANFRO AB,5567865521,2,58,Fröjd; Anders Erik Henrik,4,1,ANFRO AB|Fröjds Skogstjänst|Anfro Invest AB|Anfro Consult AB
Angseruds Kakel AB,5569959736,2,41,Angserud; Carl Anders Erik,5,4,Angseruds Kakel AB|Angserud Consulting AB|Angserud Holding AB|Carl & Carl mark AB|Angserud & Carlberg Förvaltning AB
Angseruds Kakel AB,5569959736,2,41,Angserud; Emelie Alina,4,3,Angseruds Kakel AB|Norrgården anno 1860|Angserud Consulting AB|Angserud Holding AB
Annedal Bygg och Badrum AB,5590419643,2,44,Kiriakidou; Ansoula,2,0,Annedal Bygg och Badrum AB|Fengári solutions
Annelunds Tak AB,5566601299,4,47,Markusson; Anders Mikael,4,1,Annelunds Tak AB|Ljungs Sedum Entreprenad AB|Bogläntans Fastighets och Skogsförvaltning AB|M Markusson Holding AB
ANNOs Elinstallationer AB,5569292260,2,50,Norberg; Andreas Sven Åke,5,2,A2 Gruppens Elentreprenad AB|ANNOs Elinstallationer AB|ANNOs Invest i Stockholm Holding AB|A2 Holding AB|ANNOs Fastighetsförvaltning i Stockholm AB
Antenngubben Aktiebolag,5569554768,4,60,Sundberg; Reine Michael,6,6,Taxi-Team i Örebro AB|CleanTeam i Örebro AB|Taxi Hallsberg AB|Antenngubben Aktiebolag|Charterbuss i Örebro AB
Antopus Concrete Solution AB,5569778888,3,48,Nilsson; Stig Göran Ingemar,2,8,Bostadsrättsföreningen Svanen 9 i Kungsbacka      kommun|Antopus Concrete Solution AB
APC Elinstallatören Aktiebolag,5564730801,7,57,Årnerud; Nils Peter,9,7,VallaCom AB|APC Elinstallatören Aktiebolag|MSI-EL Motala Ströms Installation AB|Tornby El Aktiebolag|MSI-Järn AB|MSI-Rör AB|Larm & Teleteknik i Motala AB|Skaltången AB|P Årnerud Konsult AB
Aplareds Gräv & Anläggning AB,5567768329,2,48,Eriksson; Stig Jens Patrik,3,4,Aplareds Gräv AB|Aplareds Gräv & Anläggning AB|Aplareds Gräv o Anläggning
Apptronic Elteknik AB,5566977970,6,60,Elheim; Jan-Ove Niclas,3,4,Apptronic Elteknik AB|Aktiebolaget Hallabro Elektriska|Fastighetsaktiebolaget Hallen
ApQ Power AB,5590038849,3,57,Qvarfort; Peter Andreas,9,13,ApQ El AB|ApQ Holding AB|ApQ EL Stockholm AB|ApQ Power AB|Nya Sjukhusområdet Malmö El Handelsbolag|Vattle AB|GAQ Contracting AB|VII Maskin och Verktyg AB|AB CAQ
Aquabygg AB,5567377204,2,40,Tomaszewski; Lukasz Filip,2,4,Aquabygg Entreprenad AB|Aquabygg AB
Aquasol AB,5561521658,3,46,Reidarsson; Johan Tomas,1,3,Aquasol AB
AR Belysningsteknik AB,5567167480,4,46,Sjöqvist; Lennart Rune,3,1,AR Properties Knivsta AB|Bostadsrättsföreningen AR Företagspark|AR Belysningsteknik AB
AR Bygg Aktiebolag,5564615556,3,64,Sjödin; Ulf Ivan,13,27,Umehem Fastigheter AB|Umehem Fyra AB|AR Bygg Aktiebolag|Umehem Fem AB|Umehem Ett AB|Umehem Två AB|Umehem Nio AB|Incisal AB|MiniBin AB|AR-T Arkitekter & Ingenjörer AB|Incisal Två AB|Gammelbyn Holding AB|Incisal Ett AB
AR Bygg Aktiebolag,5564615556,3,64,Westin; Hans Anders,12,22,Umehem Fastigheter AB|Umehem Fyra AB|AR Bygg Aktiebolag|Umehem Fem AB|Umehem Ett AB|Umehem Två AB|Umehem Nio AB|Umeå C AB|Fastighetsägare i Umeå centrum ekonomisk förening|Mesial AB|AR-T Arkitekter & Ingenjörer AB|Gammelbyn Holding AB
AR Vallhamra Servicefastigheter AB,5568589823,3,57,Karlsson; Lennart Ove Mikael,52,119,Aspelin-Ramm Fastigheter AB|Meholmen Hotell AB|Aspelin-Ramm Fastigheter Stockholm AB|AR Pedagogen Park AB|Västsvensk Logistik AB (publ)|Västsvensk Logistik Propco AB|AR Fastigheter Varberg AB|AR Vann Fastigheter AB|AR Smögenshavsbad Fastigheter AB|AR Flyghamn Aktiebolag|AR Vallhamra Servicefastigheter AB|AR Koggen AB|Fastighets AB Deckshuset i Göteborg|AR Mölndal Bildskärmen 4 AB|AR Vallhamra Torg Fastigheter AB|Celsiusgatan Fastigheter AB|John Karlssons Charkuteri AB|Bostadsrättsföreningen Drottningholm nr 1|AR Mölndal Processorn 2 AB|Fastighets AB Antares|Kvistvägen 1 Fastighets AB|AR Kontorsmagasinet i Kungälv AB|Protime Logistics Consulting AB|AR Vallhamra Torg AB|Aspelin-Ramm Projekt AB|AR Pedagogen Park Event och Konferens AB|Aspelin Ramm Torslanda 104:1 AB|Fastighets AB Vingaren|AR Pedagogen Parkering AB|AR Bostadsdecket Bygg AB|ARJPA Fastigheter AB|Sotenäsvägen Fastigheter AB|AR Kvarter 4 AB|AR Bostadsdecket AB|Aspelin-Ramm Hotell AB|AR Vallhamra NO 2 AB|Bostadsrättsföreningen AR Kvarter 1|Sotenäsvägen Fastigheter Holding AB|Bostadsrättsföreningen AR Kvarter 5.1|Bostadsrättsföreningen AR Kvarter 2.1|Bostadsrättsföreningen AR Kvarter 2.2|AR Kvarter 2.2 ekonomisk förening|AR Pedagogen Park Bostad 2 AB|AR Kvarter 6 AB|AR Kvarter 2.1 ekonomisk förening|AR Kvarter 1 ekonomisk förening|AR Kvarter 5.1 ekonomisk förening|AR Pedagogen Park Kommersiellt AB|AR Pedagogen Park Bostad AB|Fastighets AB Antares 2|AR Kvarter 5 AB|Furulund Fastighetsutveckling AB
Arac-Elektriska Aktiebolag,5560683152,3,64,Sjödin; Ivar Carl-Gunnar,1,2,Arac-Elektriska Aktiebolag
ARDEI GROUP AB,5590561998,2,30,Laci; Alban,2,1,Backa Mark & Entreprenad AB|ARDEI GROUP AB
Arena Tak AB,5590760707,3,50,Skog; Karin Ann,3,0,RoBi AB|G.S.I Förvaltning AB|Arena Tak AB
Arka Golv & Måleri AB,5590066071,3,48,Nilsson; Lars David,3,1,HBM Golvexpo Aktiebolag|Arka Golv & Måleri AB|Lill-Ola Gården AB
Arkitekt & Byggservice i Stockholm AB,5590107925,4,57,Vallin; Bert Clas-Owe,4,3,Arkitekt & Byggservice i Stockholm AB|C Vallin Arkitekter AB|GoodFairy AB|Bravur modeller Kommanditbolag
AKrit Hus AB,5590329107,2,48,Steiner; Stig Henrik Lennart,6,9,AKrit Hus AB|GGSSBYGG AB|Long Valley Aktiebolag|MGKS Grund&Bygg AB|OTFL Bygg och Entreprenad AB|HeSaPa Holding AB
ARKOR Bygg AB,5590614359,2,37,Mikalauskas; Arnas,1,1,ARKOR Bygg AB
ARMENTA Mark & Betong AB,5590087259,2,55,Gunnarsson; Lars Bertil Mikael,4,7,ARMENTA Mark & Betong AB|Cellplasthuset Sverige AB|Grundkontroll Sverige AB|Cellplasthuset-mg
ARMENTA Mark & Betong AB,5590087259,2,55,Dahlman; Marie Jeanette,3,4,Grundkontroll Sverige AB|ARMENTA Mark & Betong AB|Cellplasthuset Sverige AB
Arne Lundquist Golv och Industri i Umeå Aktiebolag,5566724372,3,49,Persson; Lars Tage,10,9,Arne Lundquist Måleri i Umeå AB|Arne Lundquist Golv och Industri i Umeå Aktiebolag|Lundquist Plattor & Mattor AB|Bröderna Westin Specialbeläggningar AB|Rödbergstenen AB|EcoBlast Scandinavia AB|SLC Invest AB|Bo Porten AB|Lars Persson i Umeå AB|Nya Boporten I Umeå AB
Arne Lundquist Måleri Aktiebolag,5560831223,4,52,Söderberg; Benny Niclas,5,10,Arne Lundquist Måleri Aktiebolag|Concreto Golvteknik AB|Malmfältens Måleri Aktiebolag|Måleriföretagens Serviceaktiebolag i Norr|Interpaint AB
Arne Lundquist Måleri i Umeå AB,5567328470,3,50,Näslund; Johan Svante Andreas,4,3,Arne Lundquist Måleri i Umeå AB|Arne Lundquist Golv och Industri i Umeå Aktiebolag|Lundquist Plattor & Mattor AB|S.A.V. Fastigheter Kommanditbolag
Arnessons Betongborrning AB,5561990226,3,46,Karlsson; Per Arne,9,5,Concrete Demolition Förvaltning AB|Arnessons Betongborrning AB|VOID AB|Karlskoga Betongdemolering AB|Arnessons Service AB|Fryxta Entreprenad AB|Nordvärmlands Bygg AB|Lekana Aktiebolag|Anders Augustsson Förvaltning AB
Arnessons Service AB,5569657298,3,46,Karlsson; Per Arne,9,5,Concrete Demolition Förvaltning AB|Arnessons Betongborrning AB|VOID AB|Karlskoga Betongdemolering AB|Arnessons Service AB|Fryxta Entreprenad AB|Nordvärmlands Bygg AB|Lekana Aktiebolag|Anders Augustsson Förvaltning AB
Arnuddens Byggnadsvaror Leif Johansson            Byggaktiebolag,5563029387,2,72,Johansson; Leif Arnold,1,0,Arnuddens Byggnadsvaror Leif Johansson            Byggaktiebolag
Aros Akustik AB,5568036148,3,35,Löfgren; Pontus Robert,1,6,Aros Akustik AB
Aros Water Aktiebolag,5564390143,3,57,Sundkvist; Gert Håkan,4,2,Aros Water Aktiebolag|Sabrehill AB|Bostadsrättsföreningen Runö Företagspark|Säby 1:148 AB
Artekta Byggnads AB,5568207319,2,47,Bill; Karl Oskar Joakim,3,1,Artekta Byggnads AB|Agatio utveckling|Parkkafét Hässleholm ekonomisk förening
Arvikens Elentreprenad AB,5568840903,2,60,Nilsson; Bengt Ove,1,3,Arvikens Elentreprenad AB
Aseka Hiss och Fastighet AB,5567769913,3,52,Andersson; Karl Urban,1,1,Aseka Hiss och Fastighet AB
ASK Sprinkler AB,5590379425,3,48,Allard; Erik Gustaf,3,1,SPR Teknik AB|SPR Holding AB|ASK Sprinkler AB
Askims Bleck och Plåt AB,5566935663,3,59,Bondesson; Jens-Patrik,1,5,Askims Bleck och Plåt AB
Askims Trädgårdsanläggningar Aktiebolag,5564182086,2,70,Blanke; Franz Gunnar Wilhelm,3,2,Askims Trädgårdsanläggningar Aktiebolag|Blanke & Carlsson Fastighets AB|Eriksson o Blanke Distribution Handelsbolag
Assemblin Installation AB,5562240944,3,50,Allthin; Fredrik Johan,7,29,Assemblin El AB|Assemblin Installation AB|Installatörsföretagen Service i Sverige AB|NIAB Norrlands Industrimontage AB|Assemblin Umeå Holding AB|Elteknikbranschens utveckling i Sverige AB|Allfran AB
Assmundsons Golv AB,5565251088,5,68,Lidman; Sven Arne,3,4,GBR Service Aktiebolag (GBRAB)|GBR Förlags Aktiebolag (GFAB)|Assmundsons Golv AB
Astaldi S.p.A. Swedish Filial,5164106527,nan,nan,Ambrosino; Giulio,1,0,Astaldi S.p.A. Swedish Filial
Astate Bygg AB,5590781786,6,54,Jacobson; Göran Anders,10,47,Astate Bygg AB|Initiativet 7E Intressenter AB|BJL Fastighets AB|Bostadsrättsföreningen Lärdomsgatan 21|Initiativet 7E Fastighets AB|Anders G Holding AB|M.A.F Buntmakaren AB|ASTATE HOLDING AB|ASTATE FASTIGHETSUTVECKLING AB|Linköping Intressenter AB
Astinger & Chotkowski Service AB,5568217136,3,50,Chotkowski; Lukasz Aleksander,1,3,Astinger & Chotkowski Service AB
Astinger & Chotkowski Service AB,5568217136,3,50,Astinger; Richard Paul Arne,2,0,Astinger & Chotkowski Service AB|Emilia's och Richard's Lokalvård AB
