company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Grand Nordic Byggteknik AB,5591962963,2,34,Fredhav; Dennis,3,2,Fredhav Invest AB|Grand Nordic Byggteknik AB|Fredhav byggkonsult AB
Tommy-Bertil Byggteknik Aktiebolag,5567014989,3,55,Håkansson; Tommy Bertil,4,2,Tommy-Bertil Byggteknik Aktiebolag|TB-Byggteknik|Bräkne-Hoby Kiosk Förvaltning AB|KHM i Kulleryd AB
Markbyggaren i Ronneby AB,5590154844,2,47,Berggren; Glenn Åke Christer,1,2,Markbyggaren i Ronneby AB
Markbyggaren i Ronneby AB,5590154844,2,47,Berggren; Åke Christian,1,0,Markbyggaren i Ronneby AB
Charlie's Måleri i Sölvesborg AB,5568582802,2,46,Schütz; Charlie,1,1,Charlie's Måleri i Sölvesborg AB
Etterspik AB,5568846983,2,53,Olivendal; Carl Johan,1,5,Etterspik AB
Frefab bygg & förvaltning AB,5567973382,2,38,Henningsson; Sven Fredrik Andreas,3,2,Frecs Handelsbolag|Handelsbolaget Centrumgymmet i Sölvesborg|Frefab bygg & förvaltning AB
Hasslö Entreprenad AB,5569459695,2,36,Landefjäll; Bo Christian,1,1,Hasslö Entreprenad AB
Marcus Maskin & Entreprenadtjänst I Blekinge AB,5591110019,2,56,Johansson; Karl Markus,1,0,Marcus Maskin & Entreprenadtjänst I Blekinge AB
Roland Bogrens Bygg AB,5569161754,2,60,Bogren; Erik Roland Mikael,1,0,Roland Bogrens Bygg AB
Micklahagen AB,5591003677,2,39,Börnesson; Ted Anders,1,0,Micklahagen AB
Hyrverket Entreprenad & Fastigheter i Sydost AB,5561016253,2,79,Persson; Bo Stellan,7,6,Ronneby Maskin- & Grus Aktiebolag|Hyrverket Entreprenad & Fastigheter i Sydost AB|Lindparkens Intressenter AB|Fastighets AB Lindparken|Lindparken Holding AB|Swebox AB|Rex Express och Åkeri i Karlskrona Aktiebolag
Binga Flyg & Gräv AB,5590889894,2,58,Karlsson; Daniel Nils Gustav,2,1,Binga Flyg & Gräv AB|Binga Mek & Gräv
Gröna Tak Blekinge AB,5590052477,2,40,Woltil; Olof Albert,1,0,Gröna Tak Blekinge AB
Nybo Bostadsutveckling AB,5591179873,4,62,Malmgren; Lars-Erik Gösta,15,27,Nybo Bostadsutveckling AB|Vita Novis Handelsbolag|Nybo bostadsutveckling holding AB|Nybo Bostadsbyggnad AB|Saliveja AB|Köpmannen kooperativ hyresrättsförening|Ingemanssonska Fastigheter V2 AB|ElsaStudio Kooperativ hyresrättsförening|Jonebergsgården Fastighet AB|Ingemanssonska fastighetsbolaget AB|Jonebergsgården kooperativ hyresrättsförening|Nybo Kooperativa Fastigheter AB|Bostadsrättsföreningen Jonebergsgården|Väderkvarnen Kooperativ Hyresrättsförening|Hästen kooperativ hyresrättsförening
NC Fasad och Måleri AB,5591488837,2,36,Cizzio; Nicholas Michael,2,0,NC Fasad och Måleri AB|NC Fasad & Måleri
Bröderna Bergs Maskin Aktiebolag,5561311803,2,73,Berg; Hugo Bertil,1,0,Bröderna Bergs Maskin Aktiebolag
Ryark Arkitektkontor AB,5590395553,2,53,Rylander; Robert Pierre Roland,2,2,Ryark Arkitektkontor AB|Ryark
Purple Passion Kommunikation AB,5569520249,4,57,Karlsson; Karl Inge Roger,1,0,Purple Passion Kommunikation AB
Sydöstfasad AB,5569527491,2,40,Jessen; Rikard Alexander,2,2,Sydöstfasad AB|Fotex AB
Jonas Lundgren Byggaktiebolag i Lörby,5569303505,2,41,Lundgren; Jonas Michael,2,9,Jonas Lundgren Byggaktiebolag i Lörby|TräningsMagasinet i Kungälv AB
Marcus Bjelland AB,5566243779,2,44,Bjelland; Marcus Karl Erik,1,14,Marcus Bjelland AB
Åby-Lyckornas Fastighets AB,5565770863,2,53,Öhman; Jan Göran Peter,2,2,Åby-Lyckornas Fastighets AB|LampKungen Belysnings AB
Sydost-El i Karlskrona Aktiebolag,5566067343,3,56,Nilsson; Sven Anders Örjan,6,5,Elcommunication Sweden AB|ERNIMA AB|MAPA Kyl&Värmepumpservice AB|Bredbandsteknik 2000 i Karlshamn AB|Bräkne-Hoby Elektriska Aktiebolag|Sydost-El i Karlskrona Aktiebolag
JHs riv och slit AB,5591532451,2,35,Hedberg; Björn Patrik Joakim,2,0,Ytpapp Syd AB|JHs riv och slit AB
Sanvent Sweden AB,5590570882,3,36,Jonasson; Christian Jan-Arvid,1,1,Sanvent Sweden AB
Modlon AB,5569288888,3,51,Niemi; Lotta Emilia,1,6,Modlon AB
jens willander plattsättning och murning AB,5590520077,2,50,Willander; Jens Carl Johan,1,0,jens willander plattsättning och murning AB
Lidemyr konsult AB,5569162331,2,67,Lidemyr; Per Anders,2,0,BM på Långö AB|Lidemyr konsult AB
Blekinge Lack AB,5568741937,2,53,Andreasson; Cecilia Charlotte I,1,2,Blekinge Lack AB
SINOSE INTERNATIONAL AB,5567899009,3,46,Huang; Wei,1,2,SINOSE INTERNATIONAL AB
SINOSE INTERNATIONAL AB,5567899009,3,46,Yun; Yu,1,1,SINOSE INTERNATIONAL AB
Pär Mörnhed Holding AB,5566967542,2,44,Mörnhed; Pär Martin,12,8,PMB Construction Sverige AB|PMB Construction Byggservice AB|Spigg Fastigheter AB|Blekingemålarna AB|PMB Fastigheter Karlshamn AB|ARTIFICIO Fastigheter AB|Polhems Port AB|Pär Mörnhed Holding AB|Pär Mörnhed Fastigheter AB|Patrik Nilsson Sverige AB|Bostadsrättsföreningen Nattviolen|Kv Duken Karlshamn AB
SK VVS AB,5569534216,2,53,Kivioja; Björn Juho Stefan,1,3,SK VVS AB
Falkviks Bygg Aktiebolag,5564482213,2,66,Axelsson; Sven Anders,3,10,Falkviks Bygg & Betong AB|Falkviks Byggtjänst AB|Falkviks Bygg Aktiebolag
Wahlfrieds spräng och transport AB,5591861769,2,48,Wahlfried; Jarl Kristofer Mattias,1,0,Wahlfrieds spräng och transport AB
Projektbyggaren Utveckling Syd AB,5563132603,3,52,Lennartsson; Christer Alf Robert,8,15,Projektbyggaren i Blekinge AB|Projektbyggaren Teknik Syd AB|JA Ark Syd AB|Valdi AB|Projektbyggaren Utveckling Syd AB|Bostadsrättsföreningen Supportern|Klubbhusen i Kalmar AB|Grenåli i Kalmar AB
SCAND Invest AB,5590083217,2,37,Kowalczyk; Agata Kornelia,1,1,SCAND Invest AB
Bergstugans Bygg AB,5591953368,3,56,Wejdenstolpe; Lennart Verner,1,1,Bergstugans Bygg AB
Bergstugans Bygg AB,5591953368,3,56,Wejdenstolpe Nielsen; Annette,2,3,Danska Kläder i Linderöd AB|Bergstugans Bygg AB
Rederiaktiebolaget Passad,5562743210,3,63,Nilsson; Leif Hugo Christer,1,4,Rederiaktiebolaget Passad
Marintim AB,5590890199,3,65,Jörgensen; John Peter,3,14,Marintim AB|Sandhamn Marine i Blekinge AB|Betsanden AB
Skavkulla Fastigheter AB,5567334569,2,54,Sjökvist Andersson; Mats Christer,9,17,Skavkulla Fastigheter AB|Doqment AB|Skavkulla Förvaltning Handelsbolag|Kilskrona AB|TSOOB Fastigheter AB|Kilsdotter AB|Boost Padel Karlskrona AB|TSOOB Holding AB|Boost Padel Nättraby AB
MIN Ö AB,5591108773,3,74,Vingras; Mindaugas,1,0,MIN Ö AB
Soliwex AB,5569473035,2,42,Jurén; Stefan Mikael Rüno,1,5,Soliwex AB
Mats Widesjö 4U AB,5568486871,2,66,Svensson Widesjö; Mats Ivar Bertil,1,6,Mats Widesjö 4U AB
Mats Widesjö 4U AB,5568486871,2,66,Widesjö; Karin Signe,1,2,Mats Widesjö 4U AB
Vilshults Kraft AB,5569557449,2,50,Åman; Ulf Ingmar Magnus,4,0,Solect Power AB|BlekingeSol AB|Vilshults Kraft AB|HOBY Sol AB
Vilshults Kraft AB,5569557449,2,50,Åman; Anna Malin,3,8,BlekingeSol AB|Vilshults Kraft AB|Solect Power AB
Leif Carlsson Elektriska Aktiebolag,5564551827,2,61,Karlsson; Leif Krister,2,0,Leif Carlsson Elektriska Aktiebolag|BEA BLEKINGE ELEKTRISKA HANDELSBOLAG
Frida My - Attention to Details AB,5591248660,2,36,Hedberg; Frida My,1,0,Frida My - Attention to Details AB
Tubbarps Tattoo AB,5566437041,2,45,Olsson; Peter Mikael,1,0,Tubbarps Tattoo AB
Karlskrona Elektriska AB,5567873434,2,39,Johansson; Magnus Erik,1,1,Karlskrona Elektriska AB
Quercinova Sweden AB,5563313146,3,49,Mårtensson; Alf Tommy,5,24,Aktiebolaget Ronneby Industrifastigheter|Quercinova AB|Quercinova Sweden AB|EdEffective AB|Ronneby Brunn Aktiebolag
Blind Store AB,5567735138,3,44,Persson; Tova Elisabeth,1,0,Blind Store AB
Mät & Cad Konsult (Sydöst) AB,5591110944,2,48,Rainford; Richard,1,0,Mät & Cad Konsult (Sydöst) AB
Klimatteknik Sydost AB,5565768651,2,61,Gladh; Ernst Robin,3,1,Klimatteknik Sydost AB|MyHat AB|Klimatteknik Robin Gladh
Puddle AB,5569801292,2,58,Scott; Keith,6,4,Silverforsen Capital AB|Lineco AB|Silverforsen Group AB|Silverforsen Fastigheter AB|Puddle AB|Made By Bees AB
INRE AB,5569767840,2,56,Svensson; Peter Bertil,2,3,INRE AB|KNA Fastigheter
VENTEX Sälj AB,5569677080,2,51,Granath; Björn Ola Jörgen,9,10,VENTEX Entreprenad Aktiebolag|eXcits worldwide AB|Anna o Anna Reklam- och Eventbyrå AB|Ventex Fastigheter AB|VENTEX Event AB|VENTEX Sälj AB|Ventex Gruppen AB|Bostadsrättsföreningen Havshotellet Hällevik|Ljungavikens Holding AB
Dolin AB,5569488868,3,41,Centrén; Bengt Erik Andreas,4,5,A-Bygg i Sölvesborg AB|Brinkagården i Lörby-Skog Landsbygdsturism        ekonomisk förening|Dolin AB|Dissoluto AB
EMG Energimontagegruppen AB,5569518144,4,42,Gummesson; Paul Viktor,1,3,EMG Energimontagegruppen AB
Tomas Lindman Holding AB,5567976443,2,54,Lindman; Lars Thomas,2,2,Klimatentreprenad i Blekinge AB|Tomas Lindman Holding AB
Lyckeby Invest AB,5569931529,2,47,Johansson; Thomas Carl Fredrik,1,4,Lyckeby Invest AB
Network Solutions International AB,5568068430,3,47,Andersson; Jan Emil Andreas,3,4,Network Solutions International AB|Network Solutions Blekinge AB|Swedak AB
Svensk Termografi Tjänst AB,5567554463,3,63,Nilsson; Sven Håkan Magnus,2,2,Hyr 4 You Sweden AB|Svensk Termografi Tjänst AB
HOBY Sol AB,5591934343,4,63,Eliasson; Olle Ingmar,7,20,ELIAS Sweden AB|ELIAS Syd AB|SMEAN AB|ElCommunication i Sydost Aktiebolag|HOBY BYGG AB|ELIAS Invest AB|HOBY Sol AB
Nybergs Entreprenad Aktiebolag,5562221845,4,56,Olsson; Per Thomas,2,15,Hamra Fisk AB|Nybergs Entreprenad Aktiebolag
Arriba Byggnads AB,5565273637,6,55,Jürss; Carl Johan Oskar,3,11,Bostadsrättsföreningen Klövern 11 Visby|Arriba Byggnads AB|Jürss Företagsutveckling AB
Wisab Bygg Aktiebolag,5564536737,6,52,Melander; Erik Stefan,1,4,Wisab Bygg Aktiebolag
Gotlandsbyggen Aktiebolag,5560941774,8,45,Topcov; Mattias,20,9,Gotlandsbyggen Aktiebolag|Västerhejde Fastigheter AB|Independent Fam Investment Sweden AB|Hemsehem AB|Austar Fastigheter AB|Austar Holding 1 AB|Slundur AB|Malavi Visby 2 AB|Malavi Visby 1 AB|Austar 1 AB|Malavi Visby 3 AB|Austar 2 AB|Austar 3 AB|Bostadsrättsföreningen Trumfen|Austar Holding 2 AB|Austar Holding 3 AB|Austar Projekt AB|Tilleike AB|Laun TK AB|Sudar Fastigheter i Visby AB
Gotlandsbyggen Aktiebolag,5560941774,8,45,Klintberg; Oskar Olof Sture,7,7,Gotlandsbyggen Aktiebolag|Klintbergs Förvaltning på Gotland AB|Sojvide Förvaltning AB|Slundur AB|Laun TK AB|Tilleike AB|Hemsehem AB
Väg & Byggnadsgrus på Gotland AB,5565767000,5,50,Karlsson; Karl Jonas Greger,4,1,Väg & Byggnadsgrus på Gotland AB|Sten & Markbutiken i Hemse AB|Väg & Vatten Gotland Aktiebolag|V&B på Gotland Förvaltning AB
BRS Networks AB,5568221567,5,42,Ringbom Pettersson; Henrik Martin,16,12,BRS Networks AB|NEZ AB|Haga Invest AB|BRS International AB|Gotlands Idrotts Center Aktiebolag|Boviken Utveckling AB|Sigurd Margareta AB|Länsförsäkringar Gotland|Vaultige AB|GBT Scandinavia AB|Haga Norr på Gotland AB|BRS Holding AB|Bläse Fiber Ekonomisk förening|NEZ HOLDING AB|Bookeasy AB|Bostadsrättsföreningen Björkanderska Fastigheten
Ruthström & Larsson Bygg Aktiebolag,5562762327,3,59,Ruthström; Johnny Gunnar,12,6,RL Bygg o Fastigheter i Visby AB|Ruthström & Larsson Bygg Aktiebolag|Kåcu Aktiebolag|Tofta Camping AB|Tofta Strand Resort AB|Trattoria Tofta AB|Nymans i Tofta AB|Tofta Intressenter AB|Aktiebolaget Tofta Bad|JR. Ruthström Bygg|Bostadsrättsföreningen Tofta Resort|Kolgården Gotland AB
Kibbas Snickarservice AB,5566205562,4,45,Dahlberg; Anders Christian Roberth,4,4,Kibbas Snickarservice AB|Pincers AB|Länkaget AB|Serdos AB
NEZ AB,5566828587,4,48,Ringbom Pettersson; Henrik Martin,16,12,BRS Networks AB|NEZ AB|Haga Invest AB|BRS International AB|Gotlands Idrotts Center Aktiebolag|Boviken Utveckling AB|Sigurd Margareta AB|Länsförsäkringar Gotland|Vaultige AB|GBT Scandinavia AB|Haga Norr på Gotland AB|BRS Holding AB|Bläse Fiber Ekonomisk förening|NEZ HOLDING AB|Bookeasy AB|Bostadsrättsföreningen Björkanderska Fastigheten
OSAB Östra Gotlands Schakt AB,5565182671,3,45,Silvin; Dan Anders Mattias,6,6,OSAB Östra Gotlands Schakt AB|Gotlands Vatten & Avlopp AB|Svensk Industribränslehantering AB|Gotlands gräv o schakt AB|Kaffebryggarn Aktiebolag|Gutarnas Mjölkproducenter ekonomiska förening
OSAB Östra Gotlands Schakt AB,5565182671,3,45,Silvin; Dennis Karl-Erik Anders,3,1,Silvin Holding AB|OSAB Östra Gotlands Schakt AB|Gotlands Vatten & Avlopp AB
Kenova AB,5568220783,4,50,Björkqvist; Pär Inge Josef,4,11,Kenova AB|Sigulds Kött AB|Medcar AB|Bostadsrättsföreningen Stallet
Värme & Sanitet i Visby AB,5560900754,2,56,Cederqvist; Fredrik Per Erik Arendt,6,10,Värme & Sanitet i Visby AB|Intressentföreningen Reko Comfort Ek. för.|VVS-Grossistens Handelsbolag|V&S i Visby Holding AB|Ceida Fastigheter AB|Pettersson & Munthe AB
VISBYGG AB,5567576938,3,39,Jansarve; Jan Martin Andreas,6,11,VISBYGG AB|LEVA Husfabrik AB|by Jansarve AB|Ideella föreningen Gotland Live                   med firma Gotland Live|MALIN S. AB|Skijan AB
När Bygg Aktiebolag,5562196666,5,56,Kristiansson; Karl Jörgen Mikael,2,4,Fastigheter i När AB|När Bygg Aktiebolag
Visbyark AB,5560880204,4,55,Heldtander Färnlöf; Cecilia Anne,2,2,Visbyarkägarna AB|Visbyark AB
Kyl & Maskin i Visby Aktiebolag,5562093491,5,57,Berg; Gustav Håkan Julius,4,4,Kyl & Maskin i Visby Aktiebolag|Smidu AB|All-El Andersson & Britse Aktiebolag|KMS Gotland AB
Prolekta Gotland AB,5567066062,5,45,Fröjelid; Per-Johan Folke,3,0,Prolekta Gotland AB|Vidburge AB|PJF Holding AB
Sandbäckens Rör i Visby AB,5590252671,4,47,Skalberg; Ulf Peter,2,3,Sandbäckens Rör i Visby AB|Skalberg Bygg
Lars-Henning Larsson & Co Aktiebolag,5563130490,3,63,Larsson; Alf Thony,2,5,LHL Holding AB|Lars-Henning Larsson & Co Aktiebolag
Lars-Henning Larsson & Co Aktiebolag,5563130490,3,63,Engdahl; Lars Jörgen,2,7,Lars-Henning Larsson & Co Aktiebolag|LHL Holding AB
Svenska Höjdbolaget i Visby AB,5590439765,3,32,Sandeen; Lars Roger Philip,2,1,Svenska Höjdbolaget i Visby AB|VBS Trading AB
Slite Elfirma Aktiebolag,5567320220,2,55,Thomsson; Jonas Emanuel,3,2,Atollen Fastighetsförvaltning Aktiebolag|Thomsson Holding AB|Slite Elfirma Aktiebolag
Scandiadrilling AB,5568613805,4,47,Ahlqvist Backhammar; Andreas Ingemar,2,1,Scandiadrilling AB|Ahlqvists Brunnsborrning Aktiebolag
Lindells Bygg & Anläggning AB,5567311914,2,53,Lindell; Lars Göran,4,3,Lindells Bygg & Anläggning AB|GL Konsultbyrå AB|Maffen fastigheter AB|Maffen Holding AB
Österudd och Näs Annex AB,5567984587,4,65,Dahlström; Lars Jonas,42,62,Slitevind AB|GotlandsBuss AB|Stugyl AB|Näsudden Väst Administration AB|Samkraft Grännsjön AB|Istad Wind Power Management AB|Ryd-Rönnerum Drift AB|Österudd och Näs Annex AB|Skålsparken AB|Gärdslösa Drift AB|Samkraft Långberget AB|Isgrannatorp Drift AB|Näsvind AB|AB Julia Hultgren|Orust Drift AB|Isgrannatorp Enterprise AB|Silkomhöjden Enterprise AB|Torsburgen Vind AB|Ownpower Projects Europe AB|Istad Enterprise AB|Kräklingbo Vind Aktiebolag|Orust Enterprise AB|Gärdslösa Enterprise AB|KlasBod Vindkraft AB|Lärbro SPW AB|Ryd Enterprise AB|Karsten Hansen|Risträsk Vind AB|Karsten Hansen|JD Företagskonsult AB|Pia Dahlström AB|Ala Buss Aktiebolag|Hemberget Energi AB|Generation Två Gotland Aktiebolag|Own Power Sweden AB|Kundström Konsult AB|Vindbolaget i När AB|Kundström i Cityhuset AB|Villiam Dahlström AB|Svedaholm Mode AB|Markbolaget i När AB|OPP Owner AB
Snickar'n Patrik Kalmén AB,5567989263,2,55,Kalmén; John Patrik,2,2,Snickar'n Patrik Kalmén AB|Lasta Gotland AB
Lye Bygg AB,5569126435,2,61,Johansson; Jan Ronnie,2,2,Lye Bygg AB|Lye Elektriska AB
Gutamålet Bygg & Konsult AB,5565264214,3,61,Kristiansson; Klas Erland Benny,3,14,Burgvind AB|Gutamålet|Gutamålet Bygg & Konsult AB
forsberg arkitektur AB,5591443790,2,58,Forsberg; Semil Andreas,7,5,forsberg arkitektur AB|Kokoloko AB|AQ Akademien i Eskilstuna AB|AQ Furillen AB|K-lokko Skogen Invest AB|AQ3 Arkitektur AB|Arkitekt Andreas Forsberg AB
Branting Wear Group AB,5568041189,3,58,Branting; Eva Annette Charlotte,1,4,Branting Wear Group AB
Branting Wear Group AB,5568041189,3,58,Branting; Lars Rickard,2,4,CYBERPUNK ENTERPRISES|Branting Wear Group AB
J. Gustavssons Grävmaskiner AB,5567572903,2,56,Gustavsson; John Kjell Rasmus,4,3,J. Gustavssons Grävmaskiner AB|Torsburgen Vind AB|Hvitfelder AB|Hvitfelder Gård
Rangfunds AB,5568673890,4,51,Thuresson; Hans Ola,3,3,Rangfunds AB|Kvarnbacken LT Aktiebolag|Nordkalk Aktiebolag
Hansestadens måleri AB,5569682684,2,38,Olofsson; Andréas Karl-Oskar,2,2,Hansestadens måleri AB|Hansestadens måleri
Hansestadens måleri AB,5569682684,2,38,Widin; Frida Helena,1,2,Hansestadens måleri AB
Palms Hus & Hem AB,5590885009,3,46,Palm; Erik Niklas,2,0,Hippie de Luxe AB|Palms Hus & Hem AB
Palms Hus & Hem AB,5590885009,3,46,Palm; Ida Monica,1,0,Palms Hus & Hem AB
Tingströms Byggservice AB,5567537146,2,46,Tingström; Per Niklas,2,4,Tingströms Byggservice AB|Plåtslagarn Visby Plåtslageri AB
Henriks El och Montage AB,5591204895,2,42,Jakobsson; Henrik Sven Johan,2,0,Henriks El och Montage AB|Vall-Hogrän-Mästerby Fiber ekonomisk förening
Engfeldt VVS AB,5590464516,2,44,Engfeldt; Joel Erik Villhelm,2,3,Öjbo Gotland AB|Engfeldt VVS AB
Snickerifabriken i Visby AB,5567855415,2,52,Nilsson; Thomas Lennart,3,8,todej group AB|Snickerifabriken i Visby AB|TODEJ Handelsbolag
Wisby El AB,5569265845,2,44,Björkander; Roy Michael,3,1,Wisby Servicepartner AB|Wisby El AB|FASTIGHETEN JULROSEN 6
Cecilia Boman Restaurering AB,5569339483,2,47,Hammarström; Åsa Cecilia,3,8,Byggnadsvårdsföretagen i Sverige                  Ekonomisk förening|Cecilia Boman Restaurering AB|JFDI i Visby Handelsbolag
VVS-Tjänst i Visby AB,5569525131,2,47,Jakobsson; Oliver Kenneth Vilhelm,1,1,VVS-Tjänst i Visby AB
Havsö Bygg AB,5567320147,4,39,Söderdahl; Bengt Jonas,1,0,Havsö Bygg AB
Sudrets Rörlednings Aktiebolag,5562923846,3,58,Söderström; Leif Anders Åke,1,1,Sudrets Rörlednings Aktiebolag
El-Jaken AB,5569077356,2,47,Jakobsson; Peter Erik,2,1,Wisby Servicepartner AB|El-Jaken AB
Österby Plåt i Visby AB,5563498954,2,58,Johansson; Stefan Bertil Erik,2,1,Fastighetsbolaget Visby Norr AB|Österby Plåt i Visby AB
Tjelvar Projektledning AB,5590736608,2,52,Jakobsson; Stefan Niklas,1,0,Tjelvar Projektledning AB
F.S Rör & Vvs Service AB,5590838834,2,40,Skoglund; Fredrik Jonas Lars,1,2,F.S Rör & Vvs Service AB
Roma VVS & Förvaltning Aktiebolag,5563747863,2,72,Johansson; Nils Göran,3,1,Roma VVS & Förvaltning Aktiebolag|Roma Sanitet Production Aktiebolag|Roma Sanitet Handelsbolag
Ljugarns Bygg Aktiebolag,5568672876,2,57,Enderborg; Magnus Peter Richard,1,1,Ljugarns Bygg Aktiebolag
Sproge Bygg AB,5590374491,4,46,Gunnarsson; Jonas Olof,2,0,Sproge Bygg AB|Sprogesågen ekonomisk förening
Skulpturfabriken Gotland AB,5566707351,3,43,Lindholm; Stina Agneta Christina,1,5,Skulpturfabriken Gotland AB
Paviken Konsult AB,5591237366,2,43,Jakobsson; Andreas Per Erik,2,6,Paviken Konsult AB|Paviken Fastigheter AB
Liljber Visby AB,5569208555,2,49,Liljegren; Freddie Per Stellan,1,2,Liljber Visby AB
Wisby Byggnadsvård AB,5590523691,2,56,Sjöstedt; Reine Nils Bertil,1,6,Wisby Byggnadsvård AB
Nilssons mur & puts AB,5568438849,2,49,Nilsson; Per Niklas,2,2,Nilssons mur & puts AB|Nilssons Mur & Puts
Elrevision Gotland AB,5569952970,4,58,Söderlund; Thomas Ove Erik,2,5,Elrevision Gotland AB|Thomas Söderlund El
Owe Lüppert Bygg AB,5566993977,2,57,Lyppert; James-Ove,1,7,Owe Lüppert Bygg AB
Allgräv & R-Power AB,5568559115,3,51,Lange Rosén; Christian E U F,1,2,Allgräv & R-Power AB
Lundquist Erik Construction AB,5591308720,3,32,Lundquist; Erik Rickard,2,0,Lundquist Erik Construction AB|Atollen Fastighetsförvaltning Aktiebolag
Länna Bygg&Fastighet AB,5590807573,3,51,Johansson; Stig Johan Michael,1,1,Länna Bygg&Fastighet AB
Gute VVS & Byggkonsult AB,5566367131,2,44,Klingvall; Roger Björn Peter,2,2,Eklunds Vent o Plåt AB|Gute VVS & Byggkonsult AB
Lars Gidlöv Entreprenad AB,5590870878,2,49,Gidlöv; Lars-Åke,1,5,Lars Gidlöv Entreprenad AB
Se mark AB,5569704298,2,56,Edström; Suzanne Magreth,2,2,J Edström Maskin AB|Se mark AB
Reko Entreprenad AB,5564655420,3,67,Andersson; Magnus Alf,4,11,PEG Förvaltning AB|Reko Entreprenad AB|Trilox AB|Runax Aktiebolag
Solhöjdens Bygg & Montage AB,5569209538,2,55,Berntsson; Johan Alf Roland,1,3,Solhöjdens Bygg & Montage AB
Husbyggnadsbyrån i Visby Aktiebolag,5560753427,2,67,Jörnhammar; Birger,2,1,Husbyggnadsbyrån i Visby Aktiebolag|Birger Jörnhammar Projekt AB
Lye Elektriska AB,5590695192,2,61,Johansson; Jan Ronnie,2,2,Lye Bygg AB|Lye Elektriska AB
CK Vindkraft och Fastighetsservice AB,5569930828,2,50,Klingvall; Conny Göran Mattias,2,1,Solenergi Gotland AB|CK Vindkraft och Fastighetsservice AB
Nyström & Sjöström Konstruktion AB,5592081243,3,52,Nyström; Johnny Bengt,2,3,Nyström & Sjöström Konstruktion AB|JONJOS AB
Nyström & Sjöström Konstruktion AB,5592081243,3,52,Sjöström; Jonas Bengt Anders,2,6,Nyström & Sjöström Konstruktion AB|JONJOS AB
inWester AB,5568095839,2,53,Wester; Jakob Anders Eskil,3,6,inWester AB|Agentia Free Agent Network AB|Agentia Life Science AB
Nadja Lindh Creative Consulting AB,5590082508,2,51,Lindh; Nadja Christina,2,7,Nadja Lindh Creative Consulting AB|Stengårds Elinstallationer AB
Ullberg Bygg; Besiktning & Kontroll AB,5568695422,2,54,Ullberg; Jan Axel Lennart,1,5,Ullberg Bygg; Besiktning & Kontroll AB
Oh Living AB,5569337339,2,45,Gidfeldt; Sofie Ingrid Olivia,1,20,Oh Living AB
Klattstølen EL AB,5569326712,2,47,Klattstølen; Bjørn-Helge,2,3,Din Kraft Wisby AB|Klattstølen EL AB
Solenergi Gotland AB,5592187545,4,46,Ingvald Zillén; Johan Kristoffer,9,2,Siral Förvaltning AB|Eltilly AB|Flush Rörinspektion AB|Siral Energi AB|Introva AB|Solenergi Gotland AB|Minomajo AB|Siral System AB|Siral Holding AB
Studio Doms AB,5568829443,2,36,Doms; Max David,2,4,Studio Doms AB|Bostadsrättsföreningen Ringaren i Visby
Melkers Bygg AB,5569798829,2,48,Darpö; Charles Melker,1,1,Melkers Bygg AB
Formverket Design & Produktion i Sverige AB,5568087935,2,61,Boberg; Barbro Anita,3,13,Formverket Design & Produktion i Sverige AB|Bostadsrättsföreningen Östanskog nr 34|Bostadsrättsföreningen Adel
Heilborn Ark & Bjerkeform AB,5569600546,3,52,Bjerke; Katharina Louise,1,0,Heilborn Ark & Bjerkeform AB
Heilborn Ark & Bjerkeform AB,5569600546,3,52,Heilborn; Lars Daniel,1,2,Heilborn Ark & Bjerkeform AB
GL Konsultbyrå AB,5591863229,2,53,Lindell; Lars Göran,4,3,Lindells Bygg & Anläggning AB|GL Konsultbyrå AB|Maffen fastigheter AB|Maffen Holding AB
GL Konsultbyrå AB,5591863229,2,53,Lindell; Anna Margareta Sofia Greta,4,6,Lindells Bygg & Anläggning AB|GL Konsultbyrå AB|Maffen fastigheter AB|Maffen Holding AB
Warg Holding AB,5566244926,3,65,Warg; Hans Johnny,3,5,Barlingbo Bryggeri AB|Appius AB|Warg Holding AB
Sericoda Brand och Säkerhet Aktiebolag,5590673892,2,51,Lydänge; Kjell Hans,1,0,Sericoda Brand och Säkerhet Aktiebolag
Sericoda Brand och Säkerhet Aktiebolag,5590673892,2,51,Lydänge; Helen Maria,1,0,Sericoda Brand och Säkerhet Aktiebolag
agraf aktiebolag,5569381402,2,44,Andersson; Anneli Elin Maria,1,4,agraf aktiebolag
Lewin Formation Aktiebolag,5564636925,3,38,Lewin; Anna,2,2,S:t Hanskvarteren Visby ekonomisk förening|Lewin Formation Aktiebolag
HSBW G personal AB,5592067341,2,57,Gardell; Henrik Carl Johan,4,0,Congard Bygg AB|HSBW G personal AB|H och M Fastigheter AB|HSBW G Holding AB
Gotlands Gurpe Hus & Bygg AB,5569928988,2,69,Nyström; Per-Erik,2,4,Gotlands Gurpe Hus & Bygg AB|Gotlands Eko Invest AB
Nymans Plåt Aktiebolag,5563000180,3,61,Nyman; Klas-Göran,2,2,K-G Nymans Bygg & Plåt Aktiebolag|Nymans Plåt Aktiebolag
Widéns El Aktiebolag Gotland,5566487673,2,53,Wid‚n; Inge Bengt,1,4,Widéns El Aktiebolag Gotland
