name,id,number_of_board_members,avg_age_of_board,total_active_assignments,total_prev_assignments
El-Montage i Oskarshamn AB,5561727743,2,56,nan,nan
EL-PE 3000 AB,5566032875,3,57,nan,nan
El-Plutonen AB,5567454250,4,42,nan,nan
El-Service i Glimåkra Aktiebolag,5562459338,2,54,4,0
El-Service Rydsmo AB,5567460703,2,58,nan,nan
EL-TEAM i Hallstahammar Aktiebolag,5564972296,2,59,nan,nan
El-team Johansson och Bjurström Aktiebolag,5562090851,3,41,1,1
El-Teamone AB,5569805616,2,54,nan,nan
El-teknik i Gävle Aktiebolag,5562813948,3,49,nan,nan
El-teknik i Skåne AB,5590506472,3,51,nan,nan
El-Teleteknik i Sverige AB,5567073241,2,41,8,4
El-Tjänst i Enviken AB,5565221289,3,47,nan,nan
EL-tjänst i Vätterbygden AB,5566448436,4,51,nan,nan
El-Väst Installations Aktiebolag,5562630672,3,39,nan,nan
El-Wicke i Skärholmen Aktiebolag,5562048701,3,64,nan,nan
El-X i Malmö Aktiebolag,5562255363,4,63,nan,nan
EL21 Aktiebolag,5567630164,2,54,nan,nan
EL&VVS Koncept Göteborg AB,5569829319,3,35,2,0
EM Carlsson Bygg & Anläggning AB,5590383401,2,59,3,4
EM PLATT Aktiebolag,5563249829,3,50,3,8
KR Resurs AB,5590125703,2,45,2,4
EM Platt Service AB,5568292543,2,60,nan,nan
EM Tjänster AB,5569069783,2,44,nan,nan
EM 1 Måleri i Varberg AB,5569119695,2,53,nan,nan
EM & Co BYGGKONSULT AB,5590789235,3,36,4,0
EMAB Elentreprenad AB,5566370473,2,48,nan,nan
Emanuel Andersson Entreprenad AB,5568200520,2,31,nan,nan
Emanuelssons El & Projektledning AB,5590911706,2,49,nan,nan
EMAX Minigräv AB,5566523725,3,63,nan,nan
EMB Platt AB,5568611940,2,48,3,8
Emcotech AB,5565106761,2,64,6,11
EMELGE Byggservice AB,5568020951,4,52,nan,nan
EMF El Mark Fastighet AB,5568423122,2,55,nan,nan
EMI Elektromontage Installation AB,5565309951,4,53,6,0
Emil Roséns Måleri & Entreprenad AB,5569441495,,,nan,nan
Emil & Kim Golv ock Kakel AB,5569763450,2,33,nan,nan
Emils Måleri Aktiebolag,5564764719,2,59,nan,nan
Emils & Rasmus Byggtjänst AB,5569856510,4,57,1,1
Emilsson Bygg AB,5566311030,2,48,nan,nan
Emji AB,5564812757,2,50,nan,nan
EMMA Elinstallationer AB,5569222093,3,43,1,8
Emmaboda El Teknik AB,5561669689,2,57,6,21
Emmaboda Glasmästeri Aktiebolag,5561661108,2,48,nan,nan
Emmoths Maskin Entreprenad Kiruna AB,5567535769,3,55,nan,nan
Emonella Södermanland AB,5590215686,,,nan,nan
Emperor Pipe AB,5569294324,6,60,nan,nan
Empower AB,5567561062,4,47,nan,nan
Emretsson Entreprenad AB,5563121861,3,43,nan,nan
EMS Stockholm AB,5590120779,2,37,4,1
EMT Entreprenad AB,5568376569,2,46,nan,nan
Emterfors EL Entreprenad Aktiebolag,5565199857,2,63,nan,nan
Emtic Aktiebolag,5562174713,2,61,1,1
EMV Pipe Solutions AB,5569708471,2,54,7,18
Emvix Förvaltning & Byggservice Aktiebolag,5563312593,2,48,5,4
Ena OPTO Montage Aktiebolag,5567608764,2,50,1,3
EnAir Ventilation AB,5567834626,3,55,nan,nan
Enanders Plåt AB,5568441256,2,40,nan,nan
Enatro AB,5569078552,2,39,nan,nan
Enberg Entreprenad AB,5568433840,3,49,nan,nan
Enbergs VVS AB,5566676937,3,54,nan,nan
Enbloms Gräv & Schakt Aktiebolag,5563187854,2,67,nan,nan
Ene Entreprenad AB,5567084438,2,50,nan,nan
Enebo Mark & Bygg Aktiebolag,5564558384,3,50,nan,nan
Enebäcks Bygg AB,5568959208,3,54,nan,nan
Eneka Bygg AB,5590406871,2,47,nan,nan
Enens Bygg AB,5567987515,2,50,nan,nan
Enerbackens Måleri AB,5566515515,2,53,nan,nan
Energi Access i Umeå AB,5590646922,2,68,nan,nan
Termino C 4934 AB,5590731146,1,58,nan,nan
Energi Förädling Europe AB,5590225941,2,55,nan,nan
Energi isolering sydost AB,5569783458,2,39,1,1
Energi Montage Aktiebolag,5561434738,2,62,nan,nan
Energi och Fastighet i Karlstad AB,5565503546,3,41,6,7
Energi och Fastighetsteknik i Örsundsbro          Aktiebolag,5564933785,2,48,nan,nan
Energi VVS Teknik i Norden AB,5590543533,5,50,2,1
Energi & Climat Ventilation i Sundsvall AB,5590244884,3,48,nan,nan
Energi & Driftteknik i Sundsvall AB,5566951553,3,48,nan,nan
Energi & Inneklimat i Norrköping AB,5566614417,2,52,3,4
Energi & Klimatteknik i Tygelsjö AB,5565622858,6,54,1,1
Energi & Miljö i Ulricehamn AB,5567688253,3,50,nan,nan
Energi & Miljöteknik i Göteborg AB,5563016293,3,42,1,0
Energi & Teknik i Arvika AB,5569641789,3,49,nan,nan
EnergiBo Syd AB,5567353536,,,nan,nan
Energiborr i Töre AB,5567439160,2,71,nan,nan
Energibrunnar Nord AB,5566619036,3,52,16,1
Energiengagemang Sverige AB,5568941941,4,51,2,10
Energifasader Väst AB,5569713422,,,nan,nan
Energigrävarna i Uppland AB,5567967178,4,43,2,0
Energihem i Sverige AB,5590068861,2,62,2,16
Energiinstallation i Sverige AB,5566913538,2,54,2,5
Energikontroll i Söderköping Aktiebolag,5563331338,3,40,nan,nan
Energioptimering Norden AB,5569068264,3,47,4,5
Energiprojekt Stockholm AB,5568734171,2,52,nan,nan
Energirör i Borås AB,5564953783,2,33,2,1
EnergiSystem Tellus AB,5568649544,2,39,2,7
Energiteamet i Umeå AB,5568886096,3,50,nan,nan
Energitjänst VK AB,5565347944,3,50,nan,nan
Energiventilation i Hälsingland Aktiebolag,5566891585,2,48,nan,nan
Energivärme i Stockholm AB,5566355581,3,46,3,10
Energi-Service Trollhättan AB,5565692018,3,47,nan,nan
Energy Dynamic Refrigeration Consulting AB,5569522104,2,43,nan,nan
ENEXCO ENTREPRENAD AB,5568883515,2,44,nan,nan
Engbergs Fastigheter i Härjedalen AB,5569840761,2,43,nan,nan
Engbergs Transportsystem AB,5566344296,2,48,1,2
Engebjär Elektriska AB,5568615370,,,nan,nan
Engelins Entreprenad Aktiebolag,5561755777,2,40,nan,nan
Engesland Slusarek Benjaminsson Byggnads AB,5590500160,3,49,nan,nan
Engjo Bygg Aktiebolag,5561584029,4,53,16,15
Engléns rör Aktiebolag,5562081462,3,65,nan,nan
Englunds Bygg Sävsjö AB,5569741043,2,38,2,1
Englunds mark & betong AB,5568789944,2,52,nan,nan
Englunds Måleri Aktiebolag,5563378669,2,66,3,12
Englunds Plåtslageri Hönö AB,5590525621,2,44,4,1
Engman & Sättermon Byggentreprenad AB,5569024952,,,nan,nan
Engmans Last & Schakt AB,5568187487,3,61,nan,nan
Engrens Tak och Byggservice AB,5567888432,2,57,nan,nan
Engstedt Rör Aktiebolag,5561121582,3,53,nan,nan
Engströms El i Sundsvall AB,5567670442,2,64,nan,nan
Engströms Isolering i Helsingborg Aktiebolag,5564698818,3,51,2,2
Engwall & Mäkimaa Bygg & Montage i Borås AB,5567479893,3,46,nan,nan
Enholmens El och Maskinteknik Aktiebolag,5563894475,2,37,nan,nan
Enium AB,5566311477,3,41,nan,nan
ENIVA AB,5566336714,2,47,8,9
ENIVA Syd AB,5567840433,2,47,8,9
ENIVA Öst AB,5568188295,2,47,8,9
Enjis Bergsprängning Aktiebolag,5564006061,2,69,nan,nan
Enköpings Glastjänst AB,5565695359,3,66,nan,nan
ENR Scandinavia AB,5568175219,,,nan,nan
Enskede Parkett & Kakel AB,5565609228,2,56,nan,nan
Enstaberga Last- och Grävmaskiner Aktiebolag,5563628261,2,67,nan,nan
Enström & Grönberg Bygg AB,5569069338,4,56,nan,nan
Entema Entreprenader & Service Aktiebolag,5564269537,3,55,2,2
Enterprise Ytbehandling Scandinavia AB,5566811203,2,55,nan,nan
Entramo AB,5566098918,3,58,nan,nan
Entreprenad Firma S.Eriksson AB,5567462220,3,59,nan,nan
Entreprenad gruppen i Örebro AB,5591069843,,,nan,nan
Entreprenad Helmer Nilsson AB,5565650651,4,38,nan,nan
Entreprenad Service Stockholm Aktiebolag,5568603616,2,35,2,3
Entreprenad Svarttorp AB,5567450753,2,58,2,0
Entreprenad Transport Väst AB,5569276644,2,39,nan,nan
Entreprenad 24 D AB,5567359442,,,nan,nan
Entreprenad & Bioenergi Småland AB,5590606314,3,39,nan,nan
Entreprenad & Förvaltning i Varberg AB,5567076368,2,39,nan,nan
Entreprenad & Skog Sverige AB,5567038616,2,54,5,4
EntreprenadA Väst AB,5560191990,3,52,nan,nan
Entreprenadbolaget Sven H. Grävmaskiner AB,5569898470,2,47,nan,nan
Entreprenader i Krok AB,5569558777,2,54,nan,nan
Entreprenadfirma B. Hagberg Aktiebolag,5561606806,2,70,nan,nan
Entreprenadfirman Paulsson AB,5566483425,2,57,nan,nan
Entreprenadmaskiner i Motala Aktiebolag,5565471645,2,58,nan,nan
Entreprenadprojekt Täby AB,5590729959,2,52,3,2
Entreprenadreparationer i Örebro Aktiebolag,5564762424,2,69,nan,nan
Entreprenadschakt i Kimstad Aktiebolag,5566295092,2,58,nan,nan
EntreprenadService i Alfta AB,5590130018,3,50,nan,nan
Entreprenadställningar i Stockholm AB,5569770661,2,54,nan,nan
Entreprenör Mats Sundelin Aktiebolag,5563699221,2,61,3,2
Entreprenören V.P.E AB,5567316061,2,56,nan,nan
Entreprenörsgruppen i Bromma AB,5568417173,2,53,nan,nan
Entust Sweden AB,5569523938,,,nan,nan
Enventia AB,5566199435,2,41,nan,nan
EoB PLÅT I RÅÅ AB,5566908926,4,61,3,2
EPAB Maskintjänst AB,5567911580,2,34,nan,nan
EPS Golv AB,5565154712,3,35,nan,nan
EPS Sweden AB,5567864805,3,35,8,4
EPV Entreprenad AB,5568402878,2,59,nan,nan
EPW; Electro Pro West AB,5562624196,2,44,nan,nan
EQuality Fönster AB,5568752959,2,39,nan,nan
Erabetong AB,5567954002,3,39,2,0
Erbeco Värmeteknik Aktiebolag,5561308007,3,46,3,2
Erby AB,5567764849,3,50,nan,nan
ERC Systems AB,5569718462,3,42,1,0
Erel & Styr AB,5567667182,2,39,nan,nan
Eric Andersson Gruppen AB,5562873967,5,61,18,48
Eric Bergkvist & Co Aktiebolag,5560840869,3,53,nan,nan
Eric Bolins Glasmästeri AB,5566414677,2,40,nan,nan
Devinegård Bygg & Plattsättning AB,5564904166,2,49,nan,nan
Ericson i Lima AB,5561999805,,,1,16
Ericsson & Fundell Stenentreprenader AB,5566468715,2,66,nan,nan
EHB VVS AB,5569910333,3,31,3,1
Ericssons Rör & El i Sjuhärad AB,5564626496,2,62,2,8
Erik Adamsons Bygg AB,5590247648,2,29,nan,nan
Erik Alexanderssons Bygg AB,5569407348,2,37,nan,nan
Erik Andrén Bygg i Växjö AB,5590116488,2,33,nan,nan
Erik Andrén El i Växjö AB,5568538879,2,33,nan,nan
Erik Eriksson Kylteknik AB,5566494232,2,54,nan,nan
Erik Fernströms Entreprenad AB,5568375363,2,29,3,1
Erik Gustafsson Bygg AB,5565729414,5,53,2,1
Erik Gustafssons Isolerings Aktiebolag,5561811406,4,45,2,3
Erik Gustavssons Gräv AB,5567733257,2,58,nan,nan
Erik Hedenstedt AB,5565163499,2,50,nan,nan
Erik J.A. Nilsson Rörlednings Aktiebolag,5561115345,2,58,1,1
Erik Kåbring Aktiebolag,5563629723,2,45,nan,nan
Erik Samuelson Mark & Entreprenad AB,5569525180,3,47,nan,nan
Erik Sjögren Byggnads AB,5561575092,3,58,nan,nan
Erik Tuominen byggfirma Aktiebolag,5563217222,3,69,3,2
Erikahuset AB,5567177232,4,43,nan,nan
Erikas Tak & Bygg AB,5568484439,2,41,nan,nan
Eriks Mark och Maskin AB,5567717532,2,46,nan,nan
Eriks Ställningar Aktiebolag,5566658067,2,37,nan,nan
Ryds Glas Stockholm AB,5566717418,4,55,nan,nan
Eriksson Bygg i Vaxholm AB,5569954570,2,41,nan,nan
Eriksson och Billings Byggservice AB,5568090087,2,30,2,7
Eriksson VVS i Gävle AB,5565670303,2,55,nan,nan
Eriksson & Höjers Plåtslageri AB,5566459904,3,49,nan,nan
Eriksson & Sjöhag El Aktiebolag,5565362372,2,49,nan,nan
Erikssons Betong & Mark AB,5566271523,2,38,nan,nan
Erikssons Bygg & Entreprenadmaskiner              Aktiebolag,5562416395,3,56,nan,nan
Erikssons Bygg & Timmer Aktiebolag,5564263019,2,42,2,5
Erikssons Glas i Norrköping Aktiebolag,5561611186,2,53,nan,nan
Erikssons Plåt & Kopparslageri AB,5564379930,5,54,8,19
Erikssons Plåtslageri i Örebro AB,5566433933,2,47,nan,nan
Erikssons Rör i Edsbyn AB,5568500010,3,46,nan,nan
Erikssons Ö Entreprenad AB,5590171889,2,34,nan,nan
Erikssunds El AB,5563494086,4,65,2,3
Erixons El i Huskvarna Aktiebolag,5563959542,2,39,nan,nan
ErJa Mur o Kakel i Älvdalen Aktiebolag,5563964427,3,41,nan,nan
Erkers Bygg AB,5569087934,2,51,nan,nan
Erlandssons Ställningar & Maskinentreprenad AB,5569065708,2,70,nan,nan
Erlings Kakel Aktiebolag,5566370705,2,56,nan,nan
ERMATEK El o Automation AB,5567266415,2,50,nan,nan
ERNet AB,5567851984,2,47,nan,nan
Ernevads El AB,5568477664,2,55,nan,nan
Ernst Johansson Bygg & Anläggning AB,5590649801,2,69,nan,nan
Ernst Wigrens Måleri Aktiebolag,5561651620,3,50,nan,nan
Ernstson Kraft AB,5569137655,3,51,4,1
Ernstsons Entreprenad Aktiebolag,5562594985,3,59,nan,nan
Ersbo Bygg & Kakel AB,5590750476,4,46,nan,nan
Ersmark Trä och Bygg Aktiebolag,5564846508,2,50,nan,nan
Er-Jill Byggnadsplåt Aktiebolaget,5561526871,2,58,nan,nan
Er-Jill Service AB,5569646705,2,58,nan,nan
ES Markentreprenad AB,5590645031,3,40,1,0
ES Snickeri i Linköping Aktiebolag,5561524371,3,52,nan,nan
Esbjörnsson & Söner Bygg Handelsbolag,9696590083,2,43,nan,nan
Escalator-Tec (Sweden) (STHLM) AB,5569889990,2,53,nan,nan
ESE Bröderna Andersson Måleri i Mölndal AB,5566984927,3,34,nan,nan
Eskilsminne Gräv och Transport AB,5567353601,2,45,nan,nan
Eskilstuna Byggfog Aktiebolag,5564681152,2,65,nan,nan
Eskilstuna Entreprenadsamverkan AB,5590107974,7,53,nan,nan
Eskilstuna Fasadtjänst AB,5568654635,,,nan,nan
Eskilstuna Isolering AB,5569348161,3,52,1,2
Eskilstuna Mur & Puts AB,5567758189,3,49,nan,nan
ESKT Bygg Gruppen AB,5590222427,,,1,8
Eslövs Betonghåltagning AB,5568882749,2,57,2,0
Eslövs Bygg & Reparation Aktiebolag,5564071842,2,41,10,1
Eslövs Kakel AB,5569823866,2,52,3,3
ESLÖVS KOMMUN,2120001173,,,nan,nan
Eslövs Måleri och Byggservice AB,5560112772,2,37,nan,nan
ESS ENERGI SPAR SYSTEM Handelsbolag,9169218758,2,69,nan,nan
Essellge Bygg Aktiebolag,5562781004,2,65,1,0
Essen Bygg Aktiebolag,5564886074,2,50,1,0
ESSING ROT AB,5569202814,,,nan,nan
Essinge Plåt AB,5568896509,3,55,nan,nan
ESSKÅ Entreprenad AB,5568522121,2,68,nan,nan
ESSUNGA Bostäder Aktiebolag,5565264826,10,48,2,0
ESSUNGA KOMMUN,2120002916,,,nan,nan
Essvik Entreprenad AB,5590483722,2,48,nan,nan
ESS1 Utemiljö AB,5569221004,6,41,nan,nan
EST Eriksson's Service & Tjänster AB,5569999906,2,48,nan,nan
Estatework Sweden AB,5569969073,3,45,nan,nan
EstRock AB,5590803499,3,46,4,6
ES-GROUP AB,5568613169,2,35,nan,nan
Etableringsgruppen i Sverige AB,5569408338,2,45,nan,nan
ETB El & Larm AB,5567835003,5,50,2,4
ETB Värme Sverige AB,5566037429,2,54,2,5
Etcon Automation AB,5566430368,4,51,1,0
Etebra Communication AB,5565938478,4,51,9,9
ETK-service AB,5568662943,2,38,nan,nan
ETNI AB,5569826232,3,57,5,12
Eton Mark & Bygg AB,5567588115,2,47,nan,nan
ETS i Myra AB,5568403710,2,49,1,0
ETS NORD AS Sverige Filial,5164099466,,,2,2
Ett - Måleri i Järfälla AB,5566849211,3,54,nan,nan
ET-Byggen Bjarne Embretsen Aktiebolag,5562269711,3,51,nan,nan
INBEGO AB,5562941558,2,34,5,7
Euro El i Stockholm Aktiebolag,5564997558,4,55,nan,nan
Eurobygg Stockholm AB,5566614003,3,36,1,4
Eurokakel Entreprenad AB,5565797494,2,51,nan,nan
EuroMarine Entreprenad AB,5569796823,2,43,1,0
Euromurning i Övertorneå Aktiebolag,5564686979,2,64,nan,nan
Europasmed AB,5590697289,2,46,nan,nan
Euroscand AB,5565205084,2,62,nan,nan
Eurospray Sweden AB,5569260523,2,56,nan,nan
Evaldssons Bygg AB,5565576054,3,48,nan,nan
Evenemangsteknik i Malmö AB,5566088117,2,56,nan,nan
Event och Entreprenad i Dalarna AB,5566020466,2,66,nan,nan
Everettson Schakt & Transport AB,5568677123,2,38,nan,nan
Evert Andersson & Jouni Bygg AB,5566078522,2,48,nan,nan
Evert & Molin Byggkonsult AB,5569340481,2,46,4,1
Everto AB,5568094931,,,nan,nan
Everöds Bygg Aktiebolag,5562036904,4,53,3,19
Everöds Elbyrå Aktiebolag,5564901584,3,47,2,4
Evsäters El Aktiebolag,5563411841,2,58,nan,nan
EW Entreprenader AB,5568671837,2,51,nan,nan
EW Schakt AB,5567952345,3,51,nan,nan
Ewall Bygg Aktiebolag,5563558971,2,55,1,2
Ewok AB,5590188255,2,31,5,19
Exactel AB,5566370598,2,48,nan,nan
Exakt Håltagning Peter Johansson AB,5566389176,2,59,nan,nan
Exaktor Bygg Aktiebolag,5565719589,2,47,nan,nan
Sista versen 48350 AB,5567666713,,,nan,nan
Exceed bygg AB,5565738670,4,56,nan,nan
Excellent El Installation i Göteborg Aktiebolag,5566022348,3,56,4,2
EXE Måleri AB,5569759797,2,36,4,2
Exklusiv Naturstenmontering i Stockholm AB,5566963939,3,45,nan,nan
ExLi AB,5566483235,2,49,nan,nan
Expandra Byggnadsställningar AB,5567954242,3,44,nan,nan
eXprima AB,5568682248,2,73,nan,nan
EXTEA Bygg och Anläggning AB,5567871651,2,40,nan,nan
Extint Euro AB,5566500046,2,50,nan,nan
Extrahuset Sweden AB,5590010921,2,43,nan,nan
Extrem Borr och Sågteknik SP AB,5567293807,2,56,nan,nan
Extremt Måleri Göteborg AB,5590117940,2,26,nan,nan
Exulto i Norr AB,5590557442,2,44,nan,nan
Exxel Aktiebolag,5567325641,2,43,2,3
Ex-Te el Aktiebolag,5561106799,2,46,5,6
EYESEC Larmteknik AB,5565893780,3,53,nan,nan
EZ GRUPPEN AB,5569012635,3,44,nan,nan
Ezelius Teknik AB,5567233332,2,34,1,2
E-Akustik & Undertak i Östergötland AB,5569193559,2,55,nan,nan
E-bygg i Stockholm AB,5569886954,2,46,1,0
E-L Mark AB,5567282016,2,43,nan,nan
E-Tak i Östergötland Aktiebolag,5566943345,3,52,nan,nan
E-Teknik Aktiebolag,5569147134,2,54,nan,nan
E12 Bygg AB,5567554851,3,57,nan,nan
e3k Elektriska AB,5569212193,,,4,4
E/S Installation Aktiebolag,5563060838,,,8,15
E&K Trafiksäkerhet AB,5591128623,2,34,1,1
F Barks Bygg AB,5564225794,2,54,nan,nan
F Berglunds Schakt & Anläggning AB,5590835624,2,50,nan,nan
F Forsmans VVS AB,5568818511,2,50,6,0
F Hanssons Bygg AB,5568937261,2,47,nan,nan
F Larsson Bygg i Kode AB,5567921050,2,53,nan,nan
F Nilsson & Co Rör Aktiebolag,5563083897,1,65,nan,nan
F Persson Entreprenad Kornsjö AB,5568480163,2,56,nan,nan
F & Mårtenssons Bygg & Fastigheter AB,5569301129,2,38,nan,nan
F. A Fönsterhuset AB,5567782403,2,53,nan,nan
F. Edbergs Bygg AB,5568225162,8,54,nan,nan
F. Edlunds Bygg AB,5569098907,2,44,1,0
F. Jansson Entreprenad AB,5590414404,2,43,nan,nan
F. Karlssons Måleri i Uppsala AB,5565641080,2,63,nan,nan
F.H Schakt Rabbalshede Aktiebolag,5562053115,2,69,nan,nan
F.L. El AB,5590321096,2,36,nan,nan
F.Matssons Bygg AB,5567713689,2,44,nan,nan
F.Player AB,5566743109,2,50,4,5
F.Å.R entreprenad AB,5567981872,2,64,nan,nan
FA GRÄV & TRANSPORT AB,5567526537,2,59,nan,nan
Fabax Bygg & Trädgård AB,5568558158,2,50,nan,nan
Fabur AB,5590619531,1,63,nan,nan
Facio Event & Bemanning i Sverige Aktiebolag,5567534002,3,40,nan,nan
Facit montage AB,5568562838,3,36,nan,nan
Facturera Sverige AB,5562134485,2,64,7,22
Factus Entreprenad AB,5566053418,,,nan,nan
FAGERBORGS VVS INSTALLATION AB,5568615891,2,60,nan,nan
Fagerdals Maskinentreprenad Aktiebolag,5563018240,3,50,nan,nan
Fagereds Bygg Aktiebolag,5563243921,3,56,nan,nan
Fagersjö Elektriska Aktiebolag,5562266790,3,49,nan,nan
Fagersta Elektriska AB,5566969076,2,51,nan,nan
Fagersta Entreprenad AB,5568126063,2,56,nan,nan
Fagersta Fiberteknik AB,5590471594,4,40,4,3
Fagersta Industrirör Aktiebolag,5564124542,2,64,nan,nan
Fagersta Plattsättningsfirma Aktiebolag,5562471895,3,51,nan,nan
Aktiebolaget Westmaskin,5567247035,2,38,nan,nan
Fagersta Renovering och Entreprenad AB,5569676694,,,nan,nan
Fagersta Snickarna AB,5566381421,,,nan,nan
Fagges AB,5566527411,2,45,nan,nan
FAIR Bygg & Montage AB,5567688238,2,52,nan,nan
Fait rapidement à Malmö AB,5569972143,2,43,3,0
FAJ AB,5567085120,2,46,nan,nan
Fajans Rör AB,5569057440,3,52,nan,nan
Fakab Plåt- och Stålentreprenad AB,5564385176,2,60,3,3
Fakta Bygg Sverige AB,5590502497,3,41,3,2
Falkenberg Bygg- & Industrisortering AB,5563945251,2,44,nan,nan
Falkenbergs Bygg AB,5569580763,2,45,5,3
Falkenbergs Elinstallation AB,5566651740,3,45,3,1
Falkenbergs Håltagning Aktiebolag,5563615573,2,44,nan,nan
Falkenbergs Plattsättning AB,5569856569,2,51,4,1
Falkenbergs Värmeteknik Aktiebolag,5561345744,5,45,nan,nan
Falklöfs El Aktiebolag,5565597381,3,57,nan,nan
Falks Mark & Asfalt Aktiebolag,5564999471,3,59,nan,nan
Falks Trädgårdsmiljö AB,5568307663,2,50,nan,nan
Falkviks Byggtjänst AB,5567122774,3,64,3,1
F Gustafsson Holding AB,5568412224,3,45,3,2
Falköpings Måleri Aktiebolag,5562353200,3,52,4,1
Falk-EL Aktiebolag,5564946225,2,54,1,1
Fallprotect Göteborg Sverige AB,5590066428,4,45,nan,nan
Fallqvists Glasmästeri Eftr AB,5565210787,2,54,nan,nan
Falls Plåtslageri AB,5565865739,2,42,nan,nan
Fallskyddspecialisterna i Heby AB,5567322424,2,63,4,8
Falu Akustik AB,5566151329,2,40,nan,nan
Falu Allbygg Aktiebolag,5561601096,2,44,3,5
Falu Kyla AB,5568700677,3,47,nan,nan
Falu Lås & Nyckelservice AB,5566704622,2,44,7,9
Falu Plåtslageri AB,5591026611,2,42,nan,nan
Falu Ventilation AB,5565201646,2,55,nan,nan
Fam. Emilssons plåt & bygg AB,5567010052,4,42,nan,nan
Fam. Olofssons Fastigheter AB,5569999757,2,58,nan,nan
Fam. Olsen Entreprenad AB,5566048632,4,46,1,3
Familjen Byggare AB,5561070359,4,40,nan,nan
Familjen Lindelöf AB,5565521159,2,71,nan,nan
Familjevillan Stockholm AB,5565405049,2,61,nan,nan
Farhults VVS AB,5564034386,2,45,nan,nan
Farmartjänst Avesta ekonomisk förening,7164568490,5,67,nan,nan
Farmartjänst i Arvika ekonomisk förening,7164512266,8,67,nan,nan
Farment AB,5567173256,2,39,nan,nan
Farons Måleriservice AB,5568591902,2,37,nan,nan
Farsta Lås Aktiebolag,5563831790,2,44,2,1
Fart & Fläkt Ventilation och Plåt AB,5564636990,3,45,nan,nan
Fas Elektriska i Partille AB,5566398136,2,46,nan,nan
Björklunda Städ AB,5567746556,4,51,nan,nan
Fasad Service i Kumla AB,5566328653,2,56,nan,nan
Fasad & Betong i Hässleholm Aktiebolag,5562584622,2,58,nan,nan
Fasad & Interiör i Skåne AB,5590282520,3,41,nan,nan
Fasad & Mark Bygg i Gbg AB,5590037403,2,46,nan,nan
Fasadentreprenad i Borås AB,5568969413,2,43,nan,nan
Fasadera AB,5569311904,3,38,2,1
Fasadexperten i Skåne AB,5590048350,2,46,nan,nan
Fasadglas Bäcklin Produktion AB,5565724043,3,57,1,1
Fasadglas i Uppsala AB,5565147039,4,54,3,2
Fasadgruppen Norden AB,5569498271,3,46,56,75
Fasadkultur Alvik3 AB,5563211324,3,49,2,1
Fasadrenoveringar Roland Karlsson I Mälardalen AB,5566854245,4,45,6,4
Fasadspecialisten i Stockholm AB,5569465361,2,45,nan,nan
Fasadteknik i Nyköping Aktiebolag,5564914579,4,44,7,3
FASADUS ; UAB,5020771944,,,nan,nan
Fasad- och Ställningsentreprenad FSE AB,5568913841,2,40,nan,nan
Fasan Bygg och Kakel AB,5568456692,2,53,nan,nan
Fast Entreprenad Bygg AB,5566902028,2,52,nan,nan
Fastermax Mark & Betong AB,5590526454,1,54,nan,nan
191919 Bolag 20209 AB,5567530182,2,49,nan,nan
Fastighets AB Dykärret,5569305682,,,nan,nan
Fastighetsaktiebolaget HSB N Bohuslän,5563936318,5,62,13,2
Fastighets AB Hälsobrunnen,5569280273,3,52,nan,nan
Fastighets AB Vindkraften 2,5564893567,2,46,nan,nan
Fastighets Competens i Norrland AB,5565963336,2,59,1,11
FASTIGHETSBOLAGET FYRA VINDAR Aktiebolag,5564531159,2,50,nan,nan
Fastighetsteknik och Eltjänst Ulvsunda AB,5569670804,3,45,nan,nan
Fastrus AB,5568147564,2,48,2,3
Faves Bygg AB,5568744337,,,nan,nan
Favorista AB,5566713649,2,55,nan,nan
Favorit Måleri & Fastighetsservice i Göteborg AB,5569801219,2,41,nan,nan
FB Construction AB,5569205627,2,38,1,4
FB Produktion AB,5590221577,2,53,36,46
FB's Måleri & Reparation AB,5565811923,2,60,nan,nan
FC Bygg AB,5568217664,2,44,2,0
FC Larmautomatik Aktiebolag,5565247110,2,73,nan,nan
FC Mureri AB,5567337745,4,54,nan,nan
FD Maskin AB,5567921209,2,41,nan,nan
FE minigräv AB,5569185712,2,43,nan,nan
Eniva Sverige AB,5562373240,2,47,nan,nan
FECA Bygg AB,5569963308,2,38,nan,nan
Fejax Allservice AB,5567989339,2,60,nan,nan
Felfritt AB,5568877822,2,34,nan,nan
Felicia Bygger AB,5569636433,2,62,6,7
Fellert Acoustical Ceilings AB,5566322425,2,50,3,10
Fellert International AB,5568593775,,,3,10
Fellmerts Plåt AB,5565631123,2,53,nan,nan
Fem Punkt Tre AB,5569119315,2,46,2,3
FEMIC Construction Group AB,5569425142,2,48,nan,nan
Femtontio AB,5569629958,,,nan,nan
Fenasse AB,5568498199,2,46,nan,nan
Fence Works in Askersund Filial,5164102781,,,1,1
Ferdinan Bygg AB,5590196928,2,67,2,6
Feritex Luftbehandling AB,5565070454,2,65,nan,nan
Ferm & Persson AB,5569481368,3,50,6,10
Ferneborn Gräv & Grus AB,5565961488,2,44,nan,nan
FF Ventilation AB,5569082190,3,60,nan,nan
FH Montage & Konsult AB,5569799934,2,43,nan,nan
FHM Bygg AB,5590279864,3,45,nan,nan
FHT konstruktion AB,5569136780,3,52,1,2
Fiber och Elkraft i Norr AB,5568401466,4,53,9,5
Fiberanalys i Stugsund AB,5563868297,2,56,nan,nan
